run,dataset,k,avg_bits,topk,nprobe,default_plan,candidate_plan,selection_reason,default_qps,candidate_qps,qps_ratio_vs_default,default_avg_tm_ms,candidate_avg_tm_ms,default_qps_recall,candidate_qps_recall,default_qps_output,candidate_qps_output
gist_full_K4096_B3,gist_full,4096,3,100,50,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",conservative_eligible,6584.952,7112.8936,1.080173948116858,3.6452816,3.3749936,0.74416,0.74419,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_pca_th24_np50_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca_th24_np50_sm4_safeblockminsimd.csv
gist_full_K4096_B3,gist_full,4096,3,100,100,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",conservative_eligible,4425.1646,4946.5854,1.1178308259991052,5.424511,4.8524556,0.86443,0.86467,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_pca_th24_np100_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca_th24_np100_sm4_safeblockminsimd.csv
gist_full_K4096_B3,gist_full,4096,3,100,200,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",conservative_eligible,2823.6118,3141.1465,1.1124569248506468,8.500227,7.641041,0.94043,0.94145,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_pca_th24_np200_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca_th24_np200_sm4_safeblockminsimd.csv
gist_full_K4096_B3,gist_full,4096,3,100,400,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",conservative_eligible,1707.3091,1906.1627,1.1164719382096657,14.057571,12.590959,0.97286,0.97418,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_pca_th24_np400_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca_th24_np400_sm4_safeblockminsimd.csv
gist_full_K4096_B3,gist_full,4096,3,100,800,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",conservative_eligible,1043.07,1159.7524,1.111864400279943,23.00926,20.694502,0.97996,0.98155,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_pca_th24_np800_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca_th24_np800_sm4_safeblockminsimd.csv
gist_full_K4096_B4,gist_full,4096,4,100,50,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",conservative_eligible,6414.2485,6921.9766,1.0791562877552998,3.7448442,3.4682868,0.74477,0.74491,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_pca_th24_np50_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca_th24_np50_sm4_safeblockminsimd.csv
gist_full_K4096_B4,gist_full,4096,4,100,100,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",conservative_eligible,4284.3706,4778.337,1.1152949747157728,5.6029334,5.0255694,0.86604,0.86606,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_pca_th24_np100_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca_th24_np100_sm4_safeblockminsimd.csv
gist_full_K4096_B4,gist_full,4096,4,100,200,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",conservative_eligible,2718.8347,3174.6912,1.1676661328472822,8.827634,7.5600696,0.94469,0.94485,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_pca_th24_np200_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca_th24_np200_sm4_safeblockminsimd.csv
gist_full_K4096_B4,gist_full,4096,4,100,400,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",conservative_eligible,1645.7094,1980.6769,1.2035398837729188,14.583469,12.117099,0.97999,0.98065,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_pca_th24_np400_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca_th24_np400_sm4_safeblockminsimd.csv
gist_full_K4096_B4,gist_full,4096,4,100,800,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",conservative_eligible,1013.63965,1211.1017,1.1948049782780301,23.677206,19.817102,0.98845,0.98922,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_pca_th24_np800_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca_th24_np800_sm4_safeblockminsimd.csv
gist_full_K4096_B5,gist_full,4096,5,100,50,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",conservative_eligible,6110.096,6372.929,1.0430161817424801,3.9292576,3.7691772,0.74509,0.74519,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_pca_th24_np50_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca_th24_np50_sm4_safeblockminsimd.csv
gist_full_K4096_B5,gist_full,4096,5,100,100,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",conservative_eligible,4176.245,4361.079,1.0442584187469843,5.747286,5.504313,0.8668,0.86687,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_pca_th24_np100_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca_th24_np100_sm4_safeblockminsimd.csv
gist_full_K4096_B5,gist_full,4096,5,100,200,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",conservative_eligible,2621.5437,2840.8376,1.0836506749820725,9.15508,8.448393,0.94659,0.94664,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_pca_th24_np200_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca_th24_np200_sm4_safeblockminsimd.csv
gist_full_K4096_B5,gist_full,4096,5,100,400,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",conservative_eligible,1606.1407,1742.3964,1.0848342240502342,14.942862,13.774711,0.98386,0.98399,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_pca_th24_np400_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca_th24_np400_sm4_safeblockminsimd.csv
gist_full_K4096_B5,gist_full,4096,5,100,800,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",conservative_eligible,988.881,1067.299,1.079299733739449,24.270182,22.487116,0.99319,0.99347,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_pca_th24_np800_sm4_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_gist_full_ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca_th24_np800_sm4_safeblockminsimd.csv
cifar60k_B3,cifar60k,512,3,10,50,"64:8,128:4,192:2,128:0","128:6,64:4,192:2,128:0",frontier_like,65471.29,68259.02,1.042579426799136,0.3666456,0.3517407,0.9294,0.9301,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_pca_th24_np50_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_plan128x6_64x4_192x2_128x0_pca_th24_np50_sm4_top10_safeblockminsimd.csv
cifar60k_B3,cifar60k,512,3,10,100,"64:8,128:4,192:2,128:0","128:6,64:4,192:2,128:0",frontier_like,40052.414,42545.84,1.062254075372336,0.5992669,0.5643444,0.956,0.957,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_pca_th24_np100_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_plan128x6_64x4_192x2_128x0_pca_th24_np100_sm4_top10_safeblockminsimd.csv
cifar60k_B3,cifar60k,512,3,10,200,"64:8,128:4,192:2,128:0","128:6,64:4,192:2,128:0",frontier_like,23714.535,25519.96,1.0761315792192425,1.0120611,0.9405722,0.9617,0.9621,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_pca_th24_np200_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_plan128x6_64x4_192x2_128x0_pca_th24_np200_sm4_top10_safeblockminsimd.csv
cifar60k_B3,cifar60k,512,3,10,400,"64:8,128:4,192:2,128:0","128:6,64:4,192:2,128:0",frontier_like,13712.21,14135.822,1.0308930507919585,1.7504538,1.6978883,0.9622,0.9628,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_pca_th24_np400_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b3_caq_adj_seg_plan128x6_64x4_192x2_128x0_pca_th24_np400_sm4_top10_safeblockminsimd.csv
cifar60k_B4,cifar60k,512,4,10,50,"64:9,192:5,128:3,128:0","128:7,256:4,128:0",frontier_like,65550.28,72069.15,1.0994483928977876,0.3662312,0.3332769,0.9425,0.9419,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_pca_th24_np50_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_plan128x7_256x4_128x0_pca_th24_np50_sm4_top10_safeblockminsimd.csv
cifar60k_B4,cifar60k,512,4,10,100,"64:9,192:5,128:3,128:0","128:7,256:4,128:0",frontier_like,41533.44,44715.277,1.0766090408114521,0.577915,0.5367983,0.9724,0.9725,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_pca_th24_np100_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_plan128x7_256x4_128x0_pca_th24_np100_sm4_top10_safeblockminsimd.csv
cifar60k_B4,cifar60k,512,4,10,200,"64:9,192:5,128:3,128:0","128:7,256:4,128:0",frontier_like,24472.672,26295.217,1.0744726607703483,0.9807672,0.9128301,0.9781,0.9785,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_pca_th24_np200_sm4_top10_safeblockminsimd.csv,/tmp/saq-run/results/saq/qps_cifar60k_ivf512_b4_caq_adj_seg_plan128x7_256x4_128x0_pca_th24_np200_sm4_top10_safeblockminsimd.csv
