run,dataset,k,avg_bits,topk,default_plan,candidate_plan,candidate_family,selection_reason,scorer_skipped_reason,candidate_rows,non_default_candidate_rows,unique_plan_count,scorer_unique_plan_count,all_config_count,selected_config_count,pair_count,used_anchor_count,eligible_cluster_count,max_anchors,max_pairs,max_candidates_per_anchor,generator_runtime_s,scorer_runtime_s,planner_runtime_s,default_index_time_s,candidate_index_time_s,index_time_ratio_vs_default,default_index_size_mb,candidate_index_size_mb,index_size_ratio_vs_default,index_size_delta_mb,qps_curve_points,qps_curve_geomean_ratio,default_index_path,candidate_index_path,timed_candidate_csv,timed_summary_json
gist_full_K4096_B3,gist_full,4096,3,100,"64:9,192:5,320:3,192:1,192:0","64:8,320:5,320:2,256:0",tail_expand_middle_merge,conservative_eligible,,2,2,2,2,13440,13440,14740,3685,3686,4096,20000,2048,0.1300300038419664,145.13490678509697,145.26493678893894,2.26586,2.48703,1.097609737583081,439.72803592681885,446.59714126586914,1.0156212585458013,6.869105339050293,5,1.1076703335177445,/tmp/saq-run/data/gist_full/ivf4096_b3_caq_adj_seg_pca.index,/tmp/saq-run/data/gist_full/ivf4096_b3_caq_adj_seg_plan64x8_320x5_320x2_256x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B3_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B3_scored.summary.json
gist_full_K4096_B4,gist_full,4096,4,100,"64:11,192:6,320:4,256:2,128:0","128:9,320:5,320:3,192:0",tail_expand_head_widen,conservative_eligible,,5,4,5,5,33600,33600,14740,3685,3686,4096,20000,2048,0.17015827866271138,150.41004600888118,150.5802042875439,2.7616,2.72739,0.9876122537659329,569.9484949111938,546.2062721252441,0.9583432134694047,-23.742222785949707,5,1.1510920567915341,/tmp/saq-run/data/gist_full/ivf4096_b4_caq_adj_seg_pca.index,/tmp/saq-run/data/gist_full/ivf4096_b4_caq_adj_seg_plan128x9_320x5_320x3_192x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B4_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B4_scored.summary.json
gist_full_K4096_B5,gist_full,4096,5,100,"64:11,192:7,320:5,320:3,64:0","128:9,128:7,320:5,320:3,64:0",head_widen_keep_levels,conservative_eligible,,5,4,5,5,33600,33600,14740,3685,3686,4096,20000,2048,0.1848433231934905,149.40499090310186,149.58983422629535,2.96997,2.9596,0.9965083822395513,669.7138757705688,669.6826257705688,0.9999533382820177,-0.03125,5,1.0668386889197905,/tmp/saq-run/data/gist_full/ivf4096_b5_caq_adj_seg_pca.index,/tmp/saq-run/data/gist_full/ivf4096_b5_caq_adj_seg_plan128x9_128x7_320x5_320x3_64x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B5_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/gist_full_K4096_B5_scored.summary.json
cifar60k_B3,cifar60k,512,3,10,"64:8,128:4,192:2,128:0","128:6,64:4,192:2,128:0",head_widen_keep_levels,frontier_like,,4,3,4,4,26880,26880,1068,267,267,4096,20000,2048,0.11724756332114339,8.444762730970979,8.562010294292122,0.083262,0.082469,0.9904758473253105,17.76523208618164,17.76523208618164,1.0,0.0,4,1.0528200235853642,/tmp/saq-run/data/cifar60k/ivf512_b3_caq_adj_seg_pca.index,/tmp/saq-run/data/cifar60k/ivf512_b3_caq_adj_seg_plan128x6_64x4_192x2_128x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B3_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B3_scored.summary.json
cifar60k_B4,cifar60k,512,4,10,"64:9,192:5,128:3,128:0","128:7,256:4,128:0",speed_merge_same_tail,frontier_like,,4,3,4,4,26880,26880,1068,267,267,4096,20000,2048,0.10114758694544435,8.505778748076409,8.606926335021853,0.079869,0.098046,1.227585170717049,20.51181411743164,19.629942893981934,0.9570066685276627,-0.881871223449707,4,1.0784532789214012,/tmp/saq-run/data/cifar60k/ivf512_b4_caq_adj_seg_pca.index,/tmp/saq-run/data/cifar60k/ivf512_b4_caq_adj_seg_plan128x7_256x4_128x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B4_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B4_scored.summary.json
cifar60k_B5,cifar60k,512,5,10,"64:10,128:6,256:4,64:0","128:8,64:6,256:4,64:0",head_widen_keep_levels,frontier_like,,4,3,4,4,26880,26880,1068,267,267,4096,20000,2048,0.10403766995295882,8.413152396213263,8.517190066166222,0.096387,0.097961,1.0163300030087046,24.75424575805664,24.75424575805664,1.0,0.0,4,1.0616634653543042,/tmp/saq-run/data/cifar60k/ivf512_b5_caq_adj_seg_pca.index,/tmp/saq-run/data/cifar60k/ivf512_b5_caq_adj_seg_plan128x8_64x6_256x4_64x0_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B5_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/cifar60k_B5_scored.summary.json
deep1M_sample100k_B4,deep1M_sample100k,512,4,100,"64:6,192:3","128:4,128:3",head_split,risky_fallback_best_score,,2,1,2,2,13440,13440,1904,476,476,4096,20000,2048,0.0964132440276444,5.708082060795277,5.804495304822922,0.101126,0.0891,0.8810790498981469,17.167749404907227,15.610620498657227,0.9092991824656462,-1.55712890625,4,1.0801815658419487,/tmp/saq-run/data/deep1M_sample100k/ivf512_b4_caq_adj_seg_pca.index,/tmp/saq-run/data/deep1M_sample100k/ivf512_b4_caq_adj_seg_plan128x4_128x3_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/deep1M_sample100k_B4_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/deep1M_sample100k_B4_scored.summary.json
deep1M_sample100k_B5,deep1M_sample100k,512,5,100,"64:7,192:4","128:5,128:4",head_split,risky_fallback_best_score,,2,1,2,2,13440,13440,1904,476,476,4096,20000,2048,0.09889005403965712,5.742681599222124,5.841571653261781,0.091445,0.076865,0.8405598993930778,20.219507217407227,18.662378311157227,0.9229887806113569,-1.55712890625,4,1.0977589249491575,/tmp/saq-run/data/deep1M_sample100k/ivf512_b5_caq_adj_seg_pca.index,/tmp/saq-run/data/deep1M_sample100k/ivf512_b5_caq_adj_seg_plan128x5_128x4_pca.index,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/deep1M_sample100k_B5_candidate.csv,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/deep1M_sample100k_B5_scored.summary.json
audio_K4096_B4,audio,4096,4,100,192:4,,,no_candidate_selected,generator_produced_no_non_default_candidates,1,0,0,,,,,,,4096,20000,2048,0.10171931004151702,,0.10171931004151702,0.050827,,,14.530533790588379,,,,0,,/tmp/saq-run/data/audio/ivf4096_b4_caq_adj_seg_pca.index,,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/audio_K4096_B4_candidate.csv,
word2vec_sample100k_B4,word2vec_sample100k,512,4,100,320:4,,,no_candidate_selected,generator_produced_no_non_default_candidates,1,0,0,,,,,,,4096,20000,2048,0.09592513088136911,,0.09592513088136911,,,,,,,,0,,,,/tmp/saq-run/reports/fixed_policy_overhead_timing_2026_07_07/word2vec_sample100k_B4_candidate.csv,
