run,dataset,k,avg_bits,preset,max_anchors,max_pairs,pairs_per_anchor,candidate_count,non_default_candidate_count,baseline_decision,baseline_plan,baseline_selection_reason,decision,candidate_plan,selection_reason,decision_matches_baseline,plan_matches_baseline,selection_reason_matches_baseline,scorer_runtime_s,pair_count,reference_pair_count,pair_count_ratio_vs_reference,used_anchor_count,eligible_cluster_count,all_config_count,unique_plan_count,best_ranking_score,best_recall_risk_score,best_speed_proxy_ratio_vs_default,reference_scorer_runtime_s,scorer_runtime_ratio_vs_reference,summary_json,unique_csv
gist_full_K4096_B4,gist_full,4096,4,a256_p1,256,256,1,5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"64:10,320:6,384:3,192:0",conservative_eligible,True,False,True,139.51169398007914,256,14740,0.017367706919945727,256,3686,33600,5,0.9106349507369641,0.9106349507369641,0.7791920309905922,150.41004600888118,0.9275423928255528,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a256_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a256_p1.unique.csv
gist_full_K4096_B4,gist_full,4096,4,a512_p1,512,512,1,5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"64:10,320:6,384:3,192:0",conservative_eligible,True,False,True,140.14225134206936,512,14740,0.034735413839891455,512,3686,33600,5,0.9135345471738157,0.9135345471738157,0.7791920309905922,150.41004600888118,0.9317346484542293,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a512_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a512_p1.unique.csv
gist_full_K4096_B4,gist_full,4096,4,a1024_p2,1024,2048,2,5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"128:9,320:5,320:3,192:0",conservative_eligible,True,True,True,141.3851134958677,2048,14740,0.13894165535956582,1024,3686,33600,5,0.9066666483002546,0.9066666483002546,0.7791920309905922,150.41004600888118,0.9399978076432435,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2.unique.csv
cifar60k_B4,cifar60k,512,4,a256_p1,256,256,1,4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,8.322626241017133,256,1068,0.2397003745318352,256,267,26880,4,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.9784672853028659,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a256_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a256_p1.unique.csv
cifar60k_B4,cifar60k,512,4,a512_p1,512,512,1,4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,8.277718557044864,267,1068,0.25,267,267,26880,4,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.9731876177612636,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a512_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a512_p1.unique.csv
cifar60k_B4,cifar60k,512,4,a1024_p2,1024,2048,2,4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,8.26798817096278,534,1068,0.5,267,267,26880,4,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.9720436441910266,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a256_p1,256,256,1,2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,5.396791594102979,256,1904,0.13445378151260504,256,476,13440,2,1.6463540953666105,1.6463540953666105,0.9961977186311787,5.708082060795277,0.9454649629460778,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a256_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a256_p1.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a512_p1,512,512,1,2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,5.4827592433430254,476,1904,0.25,476,476,13440,2,1.6448670570429436,1.6448670570429436,0.9961977186311787,5.708082060795277,0.9605256520399675,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a512_p1.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a512_p1.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a1024_p2,1024,2048,2,2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,5.547216399107128,952,1904,0.5,476,476,13440,2,1.64528585650648,1.64528585650648,0.9961977186311787,5.708082060795277,0.9718179136223322,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2.unique.csv
audio_K4096_B4,audio,4096,4,a256_p1,256,256,1,1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,
