run,dataset,k,avg_bits,preset,max_anchors,max_pairs,pairs_per_anchor,candidate_count,non_default_candidate_count,baseline_decision,baseline_plan,baseline_selection_reason,decision,candidate_plan,selection_reason,decision_matches_baseline,plan_matches_baseline,selection_reason_matches_baseline,scorer_runtime_s,pair_count,reference_pair_count,pair_count_ratio_vs_reference,used_anchor_count,eligible_cluster_count,all_config_count,unique_plan_count,best_ranking_score,best_recall_risk_score,best_speed_proxy_ratio_vs_default,reference_scorer_runtime_s,scorer_runtime_ratio_vs_reference,summary_json,unique_csv
gist_full_K4096_B3,gist_full,4096,3,a1024_p2,1024,2048,2,2,2,promote,"64:8,320:5,320:2,256:0",conservative_eligible,promote,"64:8,320:5,320:2,256:0",conservative_eligible,True,True,True,138.42124947393313,2048,14740,0.13894165535956582,1024,3686,13440,2,0.9049127860249776,0.9049127860249776,0.7780252412769115,145.13490678509697,0.95374195319459,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2.unique.csv
gist_full_K4096_B4,gist_full,4096,4,a1024_p2,1024,2048,2,5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"128:9,320:5,320:3,192:0",conservative_eligible,True,True,True,141.7253094711341,2048,14740,0.13894165535956582,1024,3686,33600,5,0.9066666483002546,0.9066666483002546,0.7791920309905922,150.41004600888118,0.9422595978912587,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2.unique.csv
gist_full_K4096_B5,gist_full,4096,5,a1024_p2,1024,2048,2,5,4,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,True,True,True,140.83037447789684,2048,14740,0.13894165535956582,1024,3686,33600,5,0.9838065179216798,0.9838065179216798,1.0,149.40499090310186,0.9426082330089884,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2.unique.csv
cifar60k_B3,cifar60k,512,3,a1024_p2,1024,2048,2,4,3,promote,"128:6,64:4,192:2,128:0",frontier_like,promote,"128:6,64:4,192:2,128:0",frontier_like,True,True,True,8.243115645833313,534,1068,0.5,267,267,26880,4,0.994129603261894,0.994129603261894,1.0,8.444762730970979,0.976121639936889,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2.unique.csv
cifar60k_B4,cifar60k,512,4,a1024_p2,1024,2048,2,4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,8.284270977135748,534,1068,0.5,267,267,26880,4,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.9739579669891183,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2.unique.csv
cifar60k_B5,cifar60k,512,5,a1024_p2,1024,2048,2,4,3,promote,"128:8,64:6,256:4,64:0",frontier_like,promote,"128:8,64:6,256:4,64:0",frontier_like,True,True,True,8.233778940979391,534,1068,0.5,267,267,26880,4,0.9937477954813547,0.9937477954813547,1.0,8.413152396213263,0.9786794002073934,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a1024_p2,1024,2048,2,2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,5.583815390244126,952,1904,0.5,476,476,13440,2,1.64528585650648,1.64528585650648,0.9961977186311787,5.708082060795277,0.9782296979567533,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2.unique.csv
deep1M_sample100k_B5,deep1M_sample100k,512,5,a1024_p2,1024,2048,2,2,1,reject,"128:5,128:4",risky_fallback_best_score,reject,"128:5,128:4",risky_fallback_best_score,True,True,True,5.645556219853461,952,1904,0.5,476,476,13440,2,1.64528585650648,1.64528585650648,0.9969604863221885,5.742681599222124,0.9830871035263702,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2.unique.csv
audio_K4096_B4,audio,4096,4,a1024_p2,1024,2048,2,1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,
word2vec_sample100k_B4,word2vec_sample100k,512,4,a1024_p2,1024,2048,2,1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,
