run,dataset,k,avg_bits,preset,max_anchors,max_pairs,pairs_per_anchor,scorer_args,candidate_count,non_default_candidate_count,baseline_decision,baseline_plan,baseline_selection_reason,decision,candidate_plan,selection_reason,decision_matches_baseline,plan_matches_baseline,selection_reason_matches_baseline,scorer_runtime_s,pair_count,reference_pair_count,pair_count_ratio_vs_reference,used_anchor_count,eligible_cluster_count,all_config_count,reference_all_config_count,all_config_count_ratio_vs_reference,unique_plan_count,feature_cache_status,load_data_s,feature_cache_load_s,compute_residual_risk_s,sample_boundary_pairs_s,compute_residual_tail_risk_s,feature_cache_write_s,scoring_grid_s,best_ranking_score,best_recall_risk_score,best_speed_proxy_ratio_vs_default,reference_scorer_runtime_s,scorer_runtime_ratio_vs_reference,summary_json,unique_csv
gist_full_K4096_B3,gist_full,4096,3,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,2,promote,"64:8,320:5,320:2,256:0",conservative_eligible,promote,"64:8,320:5,320:2,256:0",conservative_eligible,True,True,True,134.92891346290708,2048,14740,0.13894165535956582,1024,3686,64,13440,0.004761904761904762,2,miss_written,1.3078006110154092,,105.0704871728085,1.0022730543278158,27.30144734401256,0.041964832693338394,0.005898491013795137,0.9049127860249776,0.9049127860249776,0.7780252412769115,145.13490678509697,0.9296792649799814,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2_grid_endpoints_cached_features.unique.csv
gist_full_K4096_B4,gist_full,4096,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"128:9,320:5,320:3,192:0",conservative_eligible,True,True,True,1.5932658440433443,2048,14740,0.13894165535956582,1024,3686,160,33600,0.004761904761904762,5,hit,1.3052531890571117,0.027488048654049635,,,,,0.011983473785221577,0.9066666483002546,0.9066666483002546,0.7791920309905922,150.41004600888118,0.01059281534924381,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
gist_full_K4096_B5,gist_full,4096,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",5,4,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,True,True,True,1.6212652679532766,2048,14740,0.13894165535956582,1024,3686,160,33600,0.004761904761904762,5,hit,1.3041536412201822,0.027610954828560352,,,,,0.010813646018505096,0.9838065179216798,0.9838065179216798,1.0,149.40499090310186,0.0108514799817147,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B3,cifar60k,512,3,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:6,64:4,192:2,128:0",frontier_like,promote,"128:6,64:4,192:2,128:0",frontier_like,True,True,True,4.549400383606553,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,miss_written,0.04425878822803497,,3.3342876406386495,0.09900573221966624,0.9315945678390563,0.0095333531498909,0.007565552834421396,0.994129603261894,0.994129603261894,1.0,8.444762730970979,0.5387244767602207,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B4,cifar60k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,0.19160711811855435,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,hit,0.043914325069636106,0.009360943920910358,,,,,0.007537829224020243,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.022526699058788298,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B5,cifar60k,512,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:8,64:6,256:4,64:0",frontier_like,promote,"128:8,64:6,256:4,64:0",frontier_like,True,True,True,0.18882538797333837,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,hit,0.04398585297167301,0.009193222038447857,,,,,0.007177916821092367,0.9937477954813547,0.9937477954813547,1.0,8.413152396213263,0.022444070793051146,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,3.8384040081873536,952,1904,0.5,476,476,64,13440,0.004761904761904762,2,miss_written,0.03927221707999706,,2.7612329297699034,0.14975690795108676,0.7520123259164393,0.013611959759145975,0.002919567283242941,1.64528585650648,1.64528585650648,0.9961977186311787,5.708082060795277,0.6724507404248089,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
deep1M_sample100k_B5,deep1M_sample100k,512,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,1,reject,"128:5,128:4",risky_fallback_best_score,reject,"128:5,128:4",risky_fallback_best_score,True,True,True,0.17008496820926666,952,1904,0.5,476,476,64,13440,0.004761904761904762,2,hit,0.038424733094871044,0.009943475015461445,,,,,0.002952544018626213,1.64528585650648,1.64528585650648,0.9969604863221885,5.742681599222124,0.029617690841906606,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
audio_K4096_B4,audio,4096,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
word2vec_sample100k_B4,word2vec_sample100k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
