run,dataset,k,avg_bits,preset,max_anchors,max_pairs,pairs_per_anchor,scorer_args,candidate_count,non_default_candidate_count,baseline_decision,baseline_plan,baseline_selection_reason,decision,candidate_plan,selection_reason,decision_matches_baseline,plan_matches_baseline,selection_reason_matches_baseline,scorer_runtime_s,pair_count,reference_pair_count,pair_count_ratio_vs_reference,used_anchor_count,eligible_cluster_count,all_config_count,reference_all_config_count,all_config_count_ratio_vs_reference,unique_plan_count,feature_cache_status,load_data_s,feature_cache_load_s,compute_residual_risk_s,sample_boundary_pairs_s,compute_residual_tail_risk_s,feature_cache_write_s,scoring_grid_s,best_ranking_score,best_recall_risk_score,best_speed_proxy_ratio_vs_default,reference_scorer_runtime_s,scorer_runtime_ratio_vs_reference,summary_json,unique_csv
gist_full_K4096_B3,gist_full,4096,3,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,2,promote,"64:8,320:5,320:2,256:0",conservative_eligible,promote,"64:8,320:5,320:2,256:0",conservative_eligible,True,True,True,1.5408588461577892,2048,14740,0.13894165535956582,1024,3686,64,13440,0.004761904761904762,2,hit,1.3062410573475063,0.02722184592857957,,,,,0.006043524947017431,0.9049127860249776,0.9049127860249776,0.7780252412769115,145.13490678509697,0.010616735010822432,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B3_a1024_p2_grid_endpoints_cached_features.unique.csv
gist_full_K4096_B4,gist_full,4096,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",5,4,promote,"128:9,320:5,320:3,192:0",conservative_eligible,promote,"128:9,320:5,320:3,192:0",conservative_eligible,True,True,True,1.5844740560278296,2048,14740,0.13894165535956582,1024,3686,160,33600,0.004761904761904762,5,hit,1.3054386381991208,0.026779981795698404,,,,,0.011426097713410854,0.9066666483002546,0.9066666483002546,0.7791920309905922,150.41004600888118,0.010534363216232724,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
gist_full_K4096_B5,gist_full,4096,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",5,4,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,promote,"128:9,128:7,320:5,320:3,64:0",conservative_eligible,True,True,True,1.625287818722427,2048,14740,0.13894165535956582,1024,3686,160,33600,0.004761904761904762,5,hit,1.308586223050952,0.027248966973274946,,,,,0.010803889017552137,0.9838065179216798,0.9838065179216798,1.0,149.40499090310186,0.010878403786233112,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/gist_full_K4096_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B3,cifar60k,512,3,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:6,64:4,192:2,128:0",frontier_like,promote,"128:6,64:4,192:2,128:0",frontier_like,True,True,True,0.1860686494037509,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,hit,0.044115444645285606,0.009322246070951223,,,,,0.007979568559676409,0.994129603261894,0.994129603261894,1.0,8.444762730970979,0.022033614836962593,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B3_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B4,cifar60k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:7,256:4,128:0",frontier_like,promote,"128:7,256:4,128:0",frontier_like,True,True,True,0.18896725866943598,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,hit,0.04444030160084367,0.009380443021655083,,,,,0.007565059699118137,0.9616606033523555,0.9616606033523555,0.7211796246648793,8.505778748076409,0.022216338358456728,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
cifar60k_B5,cifar60k,512,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",4,3,promote,"128:8,64:6,256:4,64:0",frontier_like,promote,"128:8,64:6,256:4,64:0",frontier_like,True,True,True,0.19008621713146567,534,1068,0.5,267,267,128,26880,0.004761904761904762,4,hit,0.044649220071733,0.009458205662667751,,,,,0.006845280062407255,0.9937477954813547,0.9937477954813547,1.0,8.413152396213263,0.022593934850986767,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/cifar60k_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
deep1M_sample100k_B4,deep1M_sample100k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,1,reject,"128:4,128:3",risky_fallback_best_score,reject,"128:4,128:3",risky_fallback_best_score,True,True,True,0.169320453889668,952,1904,0.5,476,476,64,13440,0.004761904761904762,2,hit,0.03822777606546879,0.009961398784071207,,,,,0.0029453779570758343,1.64528585650648,1.64528585650648,0.9961977186311787,5.708082060795277,0.02966328305835138,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B4_a1024_p2_grid_endpoints_cached_features.unique.csv
deep1M_sample100k_B5,deep1M_sample100k,512,5,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",2,1,reject,"128:5,128:4",risky_fallback_best_score,reject,"128:5,128:4",risky_fallback_best_score,True,True,True,0.17136483918875456,952,1904,0.5,476,476,64,13440,0.004761904761904762,2,hit,0.038275233935564756,0.010020140092819929,,,,,0.003085330594331026,1.64528585650648,1.64528585650648,0.9969604863221885,5.742681599222124,0.029840560760319157,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2_grid_endpoints_cached_features.summary.json,/tmp/saq-run/reports/fixed_policy_scorer_calibration_2026_07_07/deep1M_sample100k_B5_a1024_p2_grid_endpoints_cached_features.unique.csv
audio_K4096_B4,audio,4096,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
word2vec_sample100k_B4,word2vec_sample100k,512,4,a1024_p2_grid_endpoints_cached_features,1024,2048,2,"{""boundary-global-blends"": ""0,0.4"", ""boundary-pair-alphas"": ""0,2"", ""boundary-tail-alphas"": ""0,0.25"", ""feature-cache-dir"": ""/tmp/saq-run/reports/fixed_policy_scorer_feature_cache_2026_07_07"", ""intra-segment-penalty-scales"": ""0"", ""inversion-penalty-scales"": ""0,0.05"", ""runtime-penalty-scales"": ""0"", ""segment-penalty-scales"": ""0,0.04"", ""speed-proxy-scales"": ""0""}",1,0,abstain,,generator_produced_no_non_default_candidates,abstain,,no_candidate_selected,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
