subset,max_queries,estimator,n_queries,seed_count,approx_code_bits_per_candidate,rank_event_seedavg_p50,rank_event_seedavg_p90,rank_event_seedavg_p99,top1_disagreement_rate,top1_disagreement_rate_ci95_low,top1_disagreement_rate_ci95_high,top1_disagreement_rate_n_queries,top1_disagreement_rate_seed_mean,top1_disagreement_rate_seed_std,top1_disagreement_rate_seed_min,top1_disagreement_rate_seed_max,rank_mean,rank_mean_ci95_low,rank_mean_ci95_high,rank_mean_n_queries,rank_mean_seed_mean,rank_mean_seed_std,rank_mean_seed_min,rank_mean_seed_max,exact_regret_mean,exact_regret_mean_ci95_low,exact_regret_mean_ci95_high,exact_regret_mean_n_queries,exact_regret_mean_seed_mean,exact_regret_mean_seed_std,exact_regret_mean_seed_min,exact_regret_mean_seed_max,top1_containment,top1_containment_ci95_low,top1_containment_ci95_high,top1_containment_n_queries,top2_containment,top2_containment_ci95_low,top2_containment_ci95_high,top2_containment_n_queries,top4_containment,top4_containment_ci95_low,top4_containment_ci95_high,top4_containment_n_queries,top8_containment,top8_containment_ci95_low,top8_containment_ci95_high,top8_containment_n_queries,top16_containment,top16_containment_ci95_low,top16_containment_ci95_high,top16_containment_n_queries,top32_containment,top32_containment_ci95_low,top32_containment_ci95_high,top32_containment_n_queries
1024,50,exact_float,50,10,30720.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,rabitq_style_proxy,50,10,960.0,11.0,26.0,32.0,0.9,0.8414348743103174,0.9585651256896827,50,0.9,0.0,0.9,0.9,12.9725,10.911393965878187,15.033606034121814,50,12.9725,0.0,12.9725,12.9725,0.380881206751575,0.313380867729626,0.448381545773524,50,0.380881206751575,0.0,0.380881206751575,0.380881206751575,0.1,0.04143487431031738,0.15856512568968262,50,0.1775,0.09796901521828395,0.25703098478171604,50,0.285,0.19672387860982,0.37327612139017996,50,0.43,0.3350078509944548,0.5249921490055452,50,0.615,0.5213899687388364,0.7086100312611636,50,1.0,1.0,1.0,50
1024,50,saq_fast,50,10,832.0,1.0,4.0,8.0,0.4375,0.3579197433264474,0.5170802566735526,50,0.4375,0.0,0.4375,0.4375,1.99,1.6890185542438865,2.2909814457561133,50,1.9899999999999998,0.0,1.99,1.99,0.0534473372953,0.03881183863463172,0.06808283595596827,50,0.053447337295300004,0.0,0.0534473372953,0.0534473372953,0.5625,0.4829197433264474,0.6420802566735526,50,0.7975,0.7315041673227851,0.8634958326772149,50,0.9125,0.861420120304381,0.963579879695619,50,0.9925,0.9841881132747492,1.000811886725251,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_full,50,10,3648.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc0,50,10,832.0,1.0,4.0,8.0,0.4375,0.3579197433264474,0.5170802566735526,50,0.4375,0.0,0.4375,0.4375,1.99,1.6890185542438865,2.2909814457561133,50,1.9899999999999998,0.0,1.99,1.99,0.0534473372953,0.03881183863463172,0.06808283595596827,50,0.053447337295300004,0.0,0.0534473372953,0.0534473372953,0.5625,0.4829197433264474,0.6420802566735526,50,0.7975,0.7315041673227851,0.8634958326772149,50,0.9125,0.861420120304381,0.963579879695619,50,0.9925,0.9841881132747492,1.000811886725251,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc1,50,10,1472.0,1.0,2.0,3.0,0.1075,0.0615934367495782,0.1534065632504218,50,0.1075,0.0,0.1075,0.1075,1.1275,1.069569984755823,1.1854300152441768,50,1.1275,0.0,1.1275,1.1275,0.003580636678845,0.001285866491872349,0.005875406865817652,50,0.003580636678845,0.0,0.003580636678845,0.003580636678845,0.8925,0.8465934367495782,0.9384065632504217,50,0.9825,0.9653396043911069,0.9996603956088932,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc2,50,10,2432.0,1.0,1.0,2.0,0.0175,0.0018321674054713986,0.0331678325945286,50,0.0175,0.0,0.0175,0.0175,1.0175,1.0018321674054715,1.0331678325945286,50,1.0175,0.0,1.0175,1.0175,0.00014708042138249997,-0.00010444665940670769,0.00039860750217170763,50,0.0001470804213825,0.0,0.0001470804213825,0.0001470804213825,0.9825,0.9668321674054714,0.9981678325945287,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc3,50,10,3392.0,1.0,1.0,1.0,0.005,-0.0018584452519361545,0.011858445251936155,50,0.005,0.0,0.005,0.005,1.005,0.9981415547480638,1.0118584452519361,50,1.005,0.0,1.005,1.005,4.673004145e-06,-2.709000225493418e-06,1.2055008515493417e-05,50,4.673004145e-06,0.0,4.673004145e-06,4.673004145e-06,0.995,0.9881415547480639,1.0018584452519361,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc4,50,10,3648.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_prefix_acc5,50,10,3648.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,0.0,1.0,1.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50,1.0,1.0,1.0,50
1024,50,saq_var,50,10,0.0,17.0,29.0,32.0,0.985,0.9736265552270666,0.9963734447729333,50,0.985,0.0,0.985,0.985,17.1875,15.328361967903165,19.046638032096837,50,17.1875,0.0,17.1875,17.1875,0.57068538726575,0.5061890564924011,0.635181718039099,50,0.57068538726575,0.0,0.57068538726575,0.57068538726575,0.015,0.0036265552270666294,0.02637344477293337,50,0.0425,0.005058866465371362,0.07994113353462864,50,0.105,0.05106918221371958,0.1589308177862804,50,0.215,0.13456541646705683,0.29543458353294316,50,0.48,0.3801787908399832,0.5798212091600168,50,1.0,1.0,1.0,50
1024,50,symqg_fht_fastscan,50,10,1024.0,1.5,2.8,4.2,0.353,0.31028036365153056,0.3957196363484694,50,0.353,0.02143465522103037,0.3175,0.395,1.7025,1.577590046092704,1.8274099539072959,50,1.7025,0.08299096336348916,1.58,1.8925,0.03220897991360075,0.026498820275436232,0.03791913955176526,50,0.03220897991360075,0.0027914666013571458,0.0282337978493125,0.03723066665485,0.647,0.6042803636515306,0.6897196363484694,50,0.84425,0.8123470926950709,0.876152907304929,50,0.95325,0.9381749030546568,0.9683250969453433,50,0.9947499999999999,0.9923160973132549,0.997183902686745,50,0.9997499999999999,0.9992600090038649,1.000239990996135,50,1.0,1.0,1.0,50
1024,50,symqg_fht_scalar,50,10,1024.0,1.5,2.8,4.2,0.353,0.31028036365153056,0.3957196363484694,50,0.353,0.02143465522103037,0.3175,0.395,1.7025,1.577590046092704,1.8274099539072959,50,1.7025,0.08299096336348916,1.58,1.8925,0.03220897991360075,0.026498820275436232,0.03791913955176526,50,0.03220897991360075,0.0027914666013571458,0.0282337978493125,0.03723066665485,0.647,0.6042803636515306,0.6897196363484694,50,0.84425,0.8123470926950709,0.876152907304929,50,0.95325,0.9381749030546568,0.9683250969453433,50,0.9947499999999999,0.9923160973132549,0.997183902686745,50,0.9997499999999999,0.9992600090038649,1.000239990996135,50,1.0,1.0,1.0,50
1024,50,symqg_vertex_proxy,50,10,960.0,7.0,20.0,27.0,0.8725,0.8180582782028142,0.9269417217971859,50,0.8725000000000002,0.0,0.8725,0.8725,8.74,7.570857183837079,9.909142816162921,50,8.74,0.0,8.74,8.74,0.3941227647643,0.3445128719786634,0.4437326575499366,50,0.3941227647643,0.0,0.3941227647643,0.3941227647643,0.1275,0.07305827820281409,0.18194172179718593,50,0.21,0.14197507856262803,0.27802492143737195,50,0.3625,0.2851047168263874,0.4398952831736126,50,0.5825,0.5082188636542502,0.6567811363457499,50,0.825,0.7716905678502786,0.8783094321497213,50,1.0,1.0,1.0,50
