component,unit,trials,units_per_round,timed_rounds,median_ns_per_unit,p10_ns_per_unit,p90_ns_per_unit,min_ns_per_unit,max_ns_per_unit
exact_current_l2,root,7,800,5,210.28450000000001,209.80674999999999,215.38225,208.74475000000001,215.38225
saq_fast_candidate_order,candidate,7,25600,5,2347.1719374999998,2308.5582812500002,2376.8846484374999,2268.2191093749998,2376.8846484374999
saq_fast_grouped_block_lower_bound,candidate,7,25600,5,1156.1060781250001,1148.3247890625,1183.5341093750001,1103.1308359375,1183.5341093750001
saq_fast_grouped_cached_cluster_lower_bound,candidate,7,25600,5,299.38693749999999,299.06987500000002,314.98514843750002,298.77350781249999,314.98514843750002
saq_fast_perfect_full_block_kernel_lower_bound,candidate,7,3200,5,16.369250000000001,16.2533125,18.308250000000001,16.224812499999999,18.308250000000001
saq_prefix_acc1_candidate_order,candidate,7,25600,5,2413.4144296875002,2374.603515625,2476.692125,2319.593875,2476.692125
saq_prefix_acc1_grouped_block_lower_bound,candidate,7,25600,5,1206.0411953124999,1191.2070000000001,1223.0487421875,1147.2620937500001,1223.0487421875
saq_prefix_acc1_grouped_cached_cluster_lower_bound,candidate,7,25600,5,374.12455468749999,369.63008593749998,407.17935937499999,368.858546875,407.17935937499999
saq_prefix_acc1_perfect_full_block_kernel_lower_bound,candidate,7,3200,5,41.475437499999998,40.0546875,45.912687499999997,39.946062499999996,45.912687499999997
saq_query_cluster_cache_prepare,query_cluster,7,4202,5,17491.009757258449,17401.468681580202,18098.651118514994,17204.709804854832,18098.651118514994
saq_query_prepare,query,7,100,5,14942.852000000001,14748.508,15786.004000000001,14096.075999999999,15786.004000000001
symqg_fht_fastscan,candidate,7,25600,5,9.8629374999999992,9.5615546874999993,10.352515625000001,9.4900000000000002,10.352515625000001
symqg_query_prepare,query,7,100,5,7848.9099999999999,7774.5540000000001,8602.1880000000001,7753.2700000000004,8602.1880000000001
