component,unit,trial,units_per_round,timed_rounds,total_units,elapsed_ns,ns_per_unit,checksum
symqg_fht_fastscan,candidate,0,25600,5,128000,1214720,9.4900000000000002,248956.29919968545
saq_fast_candidate_order,candidate,0,25600,5,128000,290332046,2268.2191093749998,214610.5471598357
saq_prefix_acc1_candidate_order,candidate,0,25600,5,128000,296908016,2319.593875,242995.81083677709
saq_fast_grouped_block_lower_bound,candidate,0,25600,5,128000,141200747,1103.1308359375,214610.5471598357
saq_prefix_acc1_grouped_block_lower_bound,candidate,0,25600,5,128000,146849548,1147.2620937500001,242995.81104569137
saq_fast_grouped_cached_cluster_lower_bound,candidate,0,25600,5,128000,38307579,299.27796093749998,214610.5471598357
saq_prefix_acc1_grouped_cached_cluster_lower_bound,candidate,0,25600,5,128000,47312651,369.63008593749998,242995.81104569137
saq_fast_perfect_full_block_kernel_lower_bound,candidate,0,3200,5,16000,260053,16.2533125,34981.69405721128
saq_prefix_acc1_perfect_full_block_kernel_lower_bound,candidate,0,3200,5,16000,663607,41.475437499999998,39744.794508516788
exact_current_l2,root,0,800,5,4000,839227,209.80674999999999,6203.8417600095272
symqg_query_prepare,query,0,100,5,500,4157516,8315.0319999999992,16416637.810253266
saq_query_prepare,query,0,100,5,500,7048038,14096.075999999999,2500
saq_query_cluster_cache_prepare,query_cluster,0,4202,5,21010,361470953,17204.709804854832,105050
saq_fast_candidate_order,candidate,1,25600,5,128000,297395746,2323.4042656249999,214610.5471598357
saq_prefix_acc1_candidate_order,candidate,1,25600,5,128000,303949250,2374.603515625,242995.81083677709
saq_fast_grouped_block_lower_bound,candidate,1,25600,5,128000,147548260,1152.7207812500001,214610.5471598357
saq_prefix_acc1_grouped_block_lower_bound,candidate,1,25600,5,128000,152825113,1193.9461953125001,242995.81104569137
saq_fast_grouped_cached_cluster_lower_bound,candidate,1,25600,5,128000,38243009,298.77350781249999,214610.5471598357
saq_prefix_acc1_grouped_cached_cluster_lower_bound,candidate,1,25600,5,128000,52118958,407.17935937499999,242995.81104569137
saq_fast_perfect_full_block_kernel_lower_bound,candidate,1,3200,5,16000,292932,18.308250000000001,34981.69405721128
saq_prefix_acc1_perfect_full_block_kernel_lower_bound,candidate,1,3200,5,16000,734603,45.912687499999997,39744.794508516788
