estimator,schedule,root_events,candidates,block_scan_calls,cluster_prepare_calls,graph_id_read_bytes,locator_read_bytes,short_or_edge_code_read_bytes,short_factor_read_bytes,query_lut_read_bytes,long_code_read_bytes,long_factor_value_read_bytes,accurate_query_read_bytes,cluster_prepare_input_bytes,cluster_prepare_query_state_write_bytes,cluster_prepare_lut_write_bytes,exact_current_vector_read_bytes,total_logical_input_bytes,logical_input_bytes_per_candidate,cacheline_input_bytes_per_candidate,modeled_index_bytes_per_node,actual_saq_index_bytes_per_vector,duplicated_neighbor_code_bytes_per_node,query_cluster_cache_bytes
symqg_fht_fastscan,cached_current_distance,800,25600,800,0,102400,0,3276800,307200,3276800,0,0,0,0,0,0,0,6963200,272,272,4608,0,4096,0
symqg_fht_fastscan,cold_current_vector,800,25600,800,0,102400,0,3276800,307200,3276800,0,0,0,0,0,0,3072000,10035200,392,392,4608,0,4096,0
saq_fast,candidate_order,800,25600,25600,22434,102400,204800,85196800,16384000,170393600,0,0,0,172293120,86146560,172293120,0,444574720,17366.200000000001,17422.200000000001,692,684.02578000000005,0,0
saq_prefix_acc1,candidate_order,800,25600,25600,22434,102400,204800,85196800,16384000,170393600,2048000,102400,6553600,172293120,86146560,172293120,0,453278720,17706.200000000001,17870.200000000001,692,684.02578000000005,0,0
saq_fast,grouped_block_lower_bound,800,25600,11798,10905,102400,204800,39263744,7550720,78527488,0,0,0,83750400,41875200,83750400,0,209399552,8179.6700000000001,8235.6700000000001,692,684.02578000000005,0,0
saq_prefix_acc1,grouped_block_lower_bound,800,25600,11798,10905,102400,204800,39263744,7550720,78527488,2048000,102400,6553600,83750400,41875200,83750400,0,218103552,8519.6700000000001,8683.6700000000001,692,684.02578000000005,0,0
saq_fast,grouped_cached_cluster_lower_bound,800,25600,11798,0,102400,204800,39263744,7550720,78527488,0,0,0,0,0,0,0,125649152,4908.1700000000001,4964.1700000000001,692,684.02578000000005,0,64542720
saq_prefix_acc1,grouped_cached_cluster_lower_bound,800,25600,11798,0,102400,204800,39263744,7550720,78527488,2048000,102400,6553600,0,0,0,0,134353152,5248.1700000000001,5412.1700000000001,692,684.02578000000005,0,64542720
saq_fast,perfect_full_block_kernel_lower_bound,100,3200,100,0,0,0,332800,64000,665600,0,0,0,0,0,0,0,1062400,332,332,692,684.02578000000005,0,0
saq_prefix_acc1,perfect_full_block_kernel_lower_bound,100,3200,100,0,0,0,332800,64000,665600,256000,12800,819200,0,0,0,0,2150400,672,780,692,684.02578000000005,0,0
