estimator,events,degree,approx_code_bits_per_candidate,top1_disagreement_rate,rank_mean,rank_p50,rank_p90,rank_p99,top1_containment,top2_containment,top4_containment,top8_containment,top16_containment,top32_containment,avg_exact_margin,avg_distinct_clusters_per_event,symqg_padded_dimension,symqg_rotation_seed,symqg_source_revision,symqg_evaluation_path,symqg_zero_residual_edges
exact_float,128,32,30720,0,1,1,1,1,1,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
rabitq_style_proxy,128,32,960,0.976562,14.1875,14,26,30,0.0234375,0.109375,0.234375,0.367188,0.554688,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
symqg_vertex_proxy,128,32,960,0.867188,8.85156,6,22,29,0.132812,0.203125,0.390625,0.59375,0.828125,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
symqg_fht_scalar,128,32,1024,0.304688,1.54688,1,3,6,0.695312,0.867188,0.96875,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_var,128,32,0,0.976562,14.9766,14,28,31,0.0234375,0.0390625,0.109375,0.34375,0.5625,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_fast,128,32,832,0.453125,1.9375,1,4,8,0.546875,0.796875,0.914062,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_full,128,32,3648,0.0078125,1.00781,1,1,1,0.992188,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc0,128,32,832,0.453125,1.9375,1,4,8,0.546875,0.796875,0.914062,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc1,128,32,1472,0.046875,1.05469,1,1,2,0.953125,0.992188,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc2,128,32,2432,0,1,1,1,1,1,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc3,128,32,3392,0.0078125,1.00781,1,1,1,0.992188,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc4,128,32,3648,0.0078125,1.00781,1,1,1,0.992188,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
saq_prefix_acc5,128,32,3648,0.0078125,1.00781,1,1,1,0.992188,1,1,1,1,1,0.109883,19.4766,1024,0,6124ddb34ee4d176edea1bd7ad38d1672343df28,scalar,2
