transform,plan_control,rotation_group,rotation_config_count,rotation_seeds,seeds_complete,seed_scope,structural_metadata_status,mean_N,mean_D,mean_K,mean_queries,mean_fixed_probes_per_query,mean_topk_requested,mean_nominal_B,mean_vars_bound_m,mean_segments,plan,mean_nominal_code_bits_per_vector,mean_transform_planner_proxy_total,mean_pca_planner_proxy_total,mean_actual_serialized_index_bytes,min_actual_serialized_index_bytes,max_actual_serialized_index_bytes,mean_actual_serialized_index_bytes_per_vector,mean_build_time_s,mean_serialization_time_s,mean_measurement_time_s,mean_candidate_evaluations,exact_distance_scope
current_pca,native,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.02003849205,0.02003849205,34201289,34201289,34201289,684.02578,0.3795506048,0.0170693963,1.52999902,442823,transform_view_squared_L2
current_pca,native,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.02003849205,0.02003849205,33300169,33300169,33300169,666.00338,0.245535047,0.01164694,1.512339188,442823,transform_view_squared_L2
current_pca,frozen-pca,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.02003849205,0.02003849205,34201289,34201289,34201289,684.02578,0.3163839125,0.0181344636,1.5363651682,442823,transform_view_squared_L2
current_pca,frozen-pca,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.02003849205,0.02003849205,33300169,33300169,33300169,666.00338,0.280237017,0.020181532,1.544667081,442823,transform_view_squared_L2
current_pca,uniform,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,1,0:960@4b,3840,0.1276355386,0.1276355386,34013109,34013109,34013109,680.26218,0.615680358,0.0269665605,0.6015402198,442823,transform_view_squared_L2
current_pca,uniform,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,1,0:960@4b,3840,0.1276355386,0.1276355386,30326709,30326709,30326709,606.53418,0.342133846,0.009883899,0.570472223,442823,transform_view_squared_L2
identity,native,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,1,0:960@4b,3840,0.1276355386,0.1276355386,34013109,34013109,34013109,680.26218,0.6113985017,0.0301890516,0.6574208744,442823,transform_view_squared_L2
identity,native,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,1,0:960@4b,3840,0.1276355386,0.1276355386,30326709,30326709,30326709,606.53418,0.364482212,0.009562838,0.724174427,442823,transform_view_squared_L2
identity,frozen-pca,seed_average,10,0|1|2|3|4|5|6|7|8|9,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.4785663655,0.02003849205,34201289,34201289,34201289,684.02578,0.285348524,0.0147154865,1.5167888042,442823,transform_view_squared_L2
identity,frozen-pca,off,1,off,true,logical_seed_0_9_maps_to_c_rng_seed_1_10_not_cross_plan_matrix_identity,exact_invariant_across_rotation_controls,50000,960,512,128,16,100,4,4,5,0:64@11b|64:256@6b|256:576@4b|576:832@2b|832:960@0b,3648,0.4785663655,0.02003849205,33300169,33300169,33300169,666.00338,0.23762557,0.011245448,1.524315042,442823,transform_view_squared_L2
