transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424943522,1.89500071019,-1.30257576667,favors_transform,false
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854850795,1.89126919556,-1.30541434476,favors_transform,false
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693310209,1.8526956189,-1.32100230869,favors_transform,false
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625757377,0.234920553691,-0.0902947963142,favors_transform,false
identity,current_pca,native,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.59242497363,1.89500069874,-1.30257572511,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424953098,1.89500071054,-1.30257575744,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424926567,1.89500071781,-1.30257579124,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424931723,1.89500070805,-1.30257577633,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424928028,1.89500069747,-1.30257576945,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424968649,1.89500070472,-1.30257573607,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424920088,1.89500069055,-1.30257577046,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.59242491191,1.89500071228,-1.30257580037,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424899795,1.89500068569,-1.30257578589,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.592424963028,1.8950007085,-1.30257574548,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.58585488073,1.8912691819,-1.30541430117,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.58585486117,1.89126919514,-1.30541433397,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854834167,1.8912692036,-1.30541436943,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854837666,1.89126919321,-1.30541435554,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854835863,1.89126918142,-1.30541434556,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854876423,1.89126918924,-1.30541431282,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.58585482749,1.89126917597,-1.30541434848,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854819243,1.89126919718,-1.30541437794,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854806534,1.89126916989,-1.30541436336,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,128,0.585854870875,1.89126919334,-1.30541432247,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693341795,1.8526956073,-1.3210022655,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693319948,1.85269562027,-1.32100230032,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693292341,1.85269562646,-1.32100233411,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693297858,1.8526956163,-1.32100231844,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.53169329435,1.85269560671,-1.32100231236,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693336546,1.85269561398,-1.32100227743,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693285754,1.85269559908,-1.32100231332,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693277547,1.8526956218,-1.32100234425,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693264647,1.85269559499,-1.32100233034,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,128,0.531693330721,1.85269561739,-1.32100228667,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084375,0.16578125,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,128,0.25015625,0.084453125,0.165703125,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625722394,0.234920600077,-0.090294877683,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625784668,0.234920667948,-0.0902948832805,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625893363,0.234920596754,-0.0902947033907,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625789033,0.234920557285,-0.0902947682525,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625802185,0.234920621382,-0.090294819197,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625733818,0.23492053078,-0.0902947969619,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625832712,0.234920549732,-0.0902947170205,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625757377,0.234920599842,-0.090294842465,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625802662,0.234920549732,-0.0902947470697,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,128,0.144625763904,0.234920528085,-0.0902947641814,favors_transform,false
identity,current_pca,native,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,7,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,8,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,9,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,128,508.578125,737.2734375,-228.6953125,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.184787203956,0.398880779159,-0.214093575202,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.183891627626,0.399542946907,-0.215651319281,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.144102515197,0.354421751874,-0.210319236678,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.67046875,0.54890625,0.1215625,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.0135511909895,0.0270983357513,-0.0135471447618,favors_transform,false
identity,current_pca,native,-1,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,4.8125,11.625,-6.8125,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122667648011,0.386381594359,-0.263713946348,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122637861492,0.386689709863,-0.264051848371,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122506774018,0.386282981184,-0.263776207166,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122701801583,0.385622783846,-0.262920982264,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122672338949,0.386475729427,-0.263803390478,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122546562286,0.386118625048,-0.263572062762,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122512484012,0.386763117892,-0.264250633881,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122466830593,0.386618126852,-0.264151296259,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122785386662,0.386085013167,-0.263299626505,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.12243407146,0.386436460766,-0.264002389306,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123775853084,0.387476115662,-0.263700262578,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123813297886,0.387823890494,-0.264010592609,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123657579778,0.387306415001,-0.263648835223,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123900088194,0.38674622361,-0.262846135415,favors_transform,false
