transform,plan_control,rotation_group,segment_count,descriptive_low_n_only,segment_support_status,rotation_config_count,rotation_seeds,distinct_transform_proxy_values,distinct_pca_proxy_values,spearman_transform_proxy_vs_accurate_distance_mae,spearman_transform_proxy_vs_accurate_distance_rmse,spearman_transform_proxy_vs_implied_ip_mae,spearman_transform_proxy_vs_implied_ip_rmse,spearman_pca_proxy_vs_accurate_distance_mae,spearman_pca_proxy_vs_accurate_distance_rmse,spearman_pca_proxy_vs_implied_ip_mae,spearman_pca_proxy_vs_implied_ip_rmse,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_finite_count,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_min,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_median,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_max,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_positive_count,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_negative_count,seedwise_spearman_transform_proxy_vs_accurate_distance_rmse_zero_count,seedwise_spearman_transform_proxy_vs_implied_ip_mae_finite_count,seedwise_spearman_transform_proxy_vs_implied_ip_mae_min,seedwise_spearman_transform_proxy_vs_implied_ip_mae_median,seedwise_spearman_transform_proxy_vs_implied_ip_mae_max,seedwise_spearman_transform_proxy_vs_implied_ip_mae_positive_count,seedwise_spearman_transform_proxy_vs_implied_ip_mae_negative_count,seedwise_spearman_transform_proxy_vs_implied_ip_mae_zero_count
current_pca,native,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,0.9,0.9,0.9,10,0,0,10,0.9,0.9,0.9,10,0,0
current_pca,native,off,5,true,descriptive_only,1,off,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0,0,1,0.9,0.9,0.9,1,0,0
current_pca,frozen-pca,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,0.9,0.9,0.9,10,0,0,10,0.9,0.9,0.9,10,0,0
current_pca,frozen-pca,off,5,true,descriptive_only,1,off,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0,0,1,0.9,0.9,0.9,1,0,0
current_pca,uniform,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
current_pca,uniform,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
identity,native,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
identity,native,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
identity,frozen-pca,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,1,1,1,1,0.1,0.1,0.1,0.1,10,1,1,1,10,0,0,10,1,1,1,10,0,0
identity,frozen-pca,off,5,true,descriptive_only,1,off,5,5,1,1,1,1,0.1,0.1,0.1,0.1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
identity,uniform,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
identity,uniform,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
residual_pca,native,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,0.9,0.9,1,10,0,0,10,0.9,0.9,0.9,10,0,0
residual_pca,native,off,5,true,descriptive_only,1,off,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0,0,1,0.9,0.9,0.9,1,0,0
residual_pca,frozen-pca,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,0.9,0.9,1,10,0,0,10,0.9,0.9,0.9,10,0,0
residual_pca,frozen-pca,off,5,true,descriptive_only,1,off,5,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0,0,1,0.9,0.9,0.9,1,0,0
residual_pca,uniform,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
residual_pca,uniform,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
random_orthogonal,native,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
random_orthogonal,native,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
random_orthogonal,frozen-pca,seed_average,5,true,descriptive_only,10,0|1|2|3|4|5|6|7|8|9,5,5,1,1,1,1,0.1,0.1,0.1,0.1,10,1,1,1,10,0,0,10,1,1,1,10,0,0
random_orthogonal,frozen-pca,off,5,true,descriptive_only,1,off,5,5,1,1,1,1,0.1,0.1,0.1,0.1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
random_orthogonal,uniform,seed_average,1,true,insufficient_n,10,0|1|2|3|4|5|6|7|8|9,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
random_orthogonal,uniform,off,1,true,insufficient_n,1,off,1,1,,,,,,,,,0,,,,0,0,0,0,,,,0,0,0
