transform,baseline,plan_control,rotation_group,stage,transform_stage,pca_stage,stage_match_type,stage_semantics,transform_query_count,pca_query_count,paired_query_count,bootstrap_replicates,bootstrap_seed,transform_logical_bytes_per_candidate,pca_logical_bytes_per_candidate,transform_actual_serialized_index_bytes,pca_actual_serialized_index_bytes,matched_plan,matched_logical_bytes,matched_serialized_bytes,matched_budget,dominance_scope,mean_per_query_candidate_rmse_better_direction,mean_per_query_candidate_rmse_paired_query_count,mean_per_query_candidate_rmse_transform_mean,mean_per_query_candidate_rmse_pca_mean,mean_per_query_candidate_rmse_transform_minus_pca,mean_per_query_candidate_rmse_ci95_low,mean_per_query_candidate_rmse_ci95_high,mean_per_query_candidate_rmse_ci_excludes_zero,mean_per_query_candidate_rmse_ci_evidence,mean_per_query_candidate_rmse_seed_effect_min,mean_per_query_candidate_rmse_seed_effect_median,mean_per_query_candidate_rmse_seed_effect_max,mean_per_query_candidate_rmse_seeds_favoring_transform,mean_per_query_candidate_rmse_seeds_favoring_pca,mean_per_query_candidate_rmse_seeds_tied,mean_per_query_candidate_rmse_seeds_unavailable,pooled_candidate_rmse_better_direction,pooled_candidate_rmse_paired_query_count,pooled_candidate_rmse_transform_mean,pooled_candidate_rmse_pca_mean,pooled_candidate_rmse_transform_minus_pca,pooled_candidate_rmse_ci95_low,pooled_candidate_rmse_ci95_high,pooled_candidate_rmse_ci_excludes_zero,pooled_candidate_rmse_ci_evidence,pooled_candidate_rmse_seed_effect_min,pooled_candidate_rmse_seed_effect_median,pooled_candidate_rmse_seed_effect_max,pooled_candidate_rmse_seeds_favoring_transform,pooled_candidate_rmse_seeds_favoring_pca,pooled_candidate_rmse_seeds_tied,pooled_candidate_rmse_seeds_unavailable,candidate_mae_better_direction,candidate_mae_paired_query_count,candidate_mae_transform_mean,candidate_mae_pca_mean,candidate_mae_transform_minus_pca,candidate_mae_ci95_low,candidate_mae_ci95_high,candidate_mae_ci_excludes_zero,candidate_mae_ci_evidence,candidate_mae_seed_effect_min,candidate_mae_seed_effect_median,candidate_mae_seed_effect_max,candidate_mae_seeds_favoring_transform,candidate_mae_seeds_favoring_pca,candidate_mae_seeds_tied,candidate_mae_seeds_unavailable,topk_agreement_better_direction,topk_agreement_paired_query_count,topk_agreement_transform_mean,topk_agreement_pca_mean,topk_agreement_transform_minus_pca,topk_agreement_ci95_low,topk_agreement_ci95_high,topk_agreement_ci_excludes_zero,topk_agreement_ci_evidence,topk_agreement_seed_effect_min,topk_agreement_seed_effect_median,topk_agreement_seed_effect_max,topk_agreement_seeds_favoring_transform,topk_agreement_seeds_favoring_pca,topk_agreement_seeds_tied,topk_agreement_seeds_unavailable,boundary_inversion_rate_better_direction,boundary_inversion_rate_paired_query_count,boundary_inversion_rate_transform_mean,boundary_inversion_rate_pca_mean,boundary_inversion_rate_transform_minus_pca,boundary_inversion_rate_ci95_low,boundary_inversion_rate_ci95_high,boundary_inversion_rate_ci_excludes_zero,boundary_inversion_rate_ci_evidence,boundary_inversion_rate_seed_effect_min,boundary_inversion_rate_seed_effect_median,boundary_inversion_rate_seed_effect_max,boundary_inversion_rate_seeds_favoring_transform,boundary_inversion_rate_seeds_favoring_pca,boundary_inversion_rate_seeds_tied,boundary_inversion_rate_seeds_unavailable,exact_best_rank_better_direction,exact_best_rank_paired_query_count,exact_best_rank_transform_mean,exact_best_rank_pca_mean,exact_best_rank_transform_minus_pca,exact_best_rank_ci95_low,exact_best_rank_ci95_high,exact_best_rank_ci_excludes_zero,exact_best_rank_ci_evidence,exact_best_rank_seed_effect_min,exact_best_rank_seed_effect_median,exact_best_rank_seed_effect_max,exact_best_rank_seeds_favoring_transform,exact_best_rank_seeds_favoring_pca,exact_best_rank_seeds_tied,exact_best_rank_seeds_unavailable,descriptive_mean_rate_quality_relation,ci_metrics_favoring_transform,ci_metrics_favoring_pca,ci_metrics_including_zero,all_metric_cis_favor_transform,all_metric_cis_favor_pca
residual_pca,current_pca,frozen-pca,seed_average,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,conservative_lower_bound_not_ordinary_distance_estimator,1000,1000,1000,10000,20260710,16,16,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.626228820381,0.626707463672,-0.00047864329166,-0.00100284359278,3.99496385125e-05,false,includes_zero,-0.0004786444951,-0.0004786434161,-0.000478642218,10,0,0,0,lower,1000,0.622349253229,0.622792149481,-0.000442896251501,-0.000969055573681,8.78611827612e-05,false,includes_zero,-0.000442897416211,-0.000442896354095,-0.000442895254079,10,0,0,0,lower,1000,0.615294427346,0.615629145688,-0.00033471834208,-0.000828201964104,0.000174515605861,false,includes_zero,-0.000334719503,-0.0003347184455,-0.0003347172769,10,0,0,0,higher,1000,0.12617,0.12414,0.00203,0.00098975,0.00306,true,favors_transform,0.00203,0.00203,0.00203,10,0,0,0,lower,1000,0.25689044008,0.259155579905,-0.00226513982438,-0.0029119405624,-0.00162894958392,true,favors_transform,-0.00226519146688,-0.00226514357213,-0.00226508639618,10,0,0,0,lower,1000,951.9037,967.708,-15.8043,-21.1250025,-10.667535,true,favors_transform,-15.805,-15.804,-15.804,10,0,0,0,not_applicable_conservative_bound,3,0,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,24,24,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.186970264034,0.186552454664,0.00041780936937,0.000319187884072,0.000517433966915,true,favors_pca,0.0002424191404,0.00041753476765,0.000572047326,0,10,0,0,lower,1000,0.185470329869,0.185051343754,0.000418986115001,0.000319571009379,0.000520775225382,true,favors_pca,0.000264019148748,0.000416772363752,0.000550802577022,0,10,0,0,lower,1000,0.178558003038,0.17813212969,0.000425873348258,0.000321920713502,0.000532141565659,true,favors_pca,0.00028163132251,0.00043333559676,0.00054757850816,0,10,0,0,higher,1000,0.589673,0.590052,-0.000379,-0.001334075,0.000567025,false,includes_zero,-0.00284,-7.49999999999e-05,0.00178,5,5,0,0,lower,1000,0.0332878392578,0.0332821633357,5.6759221767e-06,-0.000131939633946,0.000142313720106,false,includes_zero,-0.000311860593624,1.05002353495e-05,0.000328560034235,5,5,0,0,lower,1000,1.0259,1.0251,0.0008,-0.0029,0.0051,false,includes_zero,-0.005,0.0015,0.008,3,6,1,0,pca_partially_dominates_transform,0,3,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,fast_prefix_2,fast_prefix_2,fast_prefix_2,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,48,48,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.139963683219,0.139907665343,5.601787607e-05,1.75090436827e-05,9.35844100422e-05,true,favors_pca,-0.00014727870849,5.536077863e-05,0.00023093686218,2,8,0,0,lower,1000,0.138843039362,0.138788265343,5.47740190133e-05,1.73335504308e-05,9.3086313259e-05,true,favors_pca,-0.000124682536428,5.69870119589e-05,0.000207122583959,2,8,0,0,lower,1000,0.129443358073,0.129389557503,5.3800569937e-05,1.80117343129e-05,8.89925122084e-05,true,favors_pca,-0.00011170888468,5.4761409985e-05,0.00019036140814,2,8,0,0,higher,1000,0.61737,0.617479,-0.000109,-0.001036,0.000807025,false,includes_zero,-0.00334,-0.000135,0.00188,5,5,0,0,lower,1000,0.0277266805772,0.0277294441093,-2.7635320695e-06,-0.000121109545651,0.000114570028515,false,includes_zero,-0.000461873702583,0.000118019499453,0.000232426604061,4,6,0,0,lower,1000,1.0053,1.0046,0.0007,-0.0006,0.0024,false,includes_zero,-0.002,0.001,0.003,2,6,2,0,tradeoff,0,3,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,fast_prefix_3,fast_prefix_3,fast_prefix_3,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,64,64,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.133599797716,0.133557498672,4.2299044177e-05,5.05230180368e-06,7.89744934197e-05,true,favors_pca,-0.00016532100971,4.4828968535e-05,0.00022443256954,3,7,0,0,lower,1000,0.132547192557,0.132505917918,4.12746395451e-05,2.54426763169e-06,8.06567097835e-05,true,favors_pca,-0.000142581038798,4.6564419278e-05,0.000200290761395,3,7,0,0,lower,1000,0.122599120268,0.122559923202,3.919706537e-05,3.50134386945e-06,7.465461242e-05,true,favors_pca,-0.00012600725203,3.8467142805e-05,0.00018157715772,3,7,0,0,higher,1000,0.617683,0.61778,-9.7e-05,-0.001020025,0.000845025,false,includes_zero,-0.00269,-0.00034,0.00191,4,6,0,0,lower,1000,0.0276501690238,0.0276597049508,-9.5359269157e-06,-0.000133373227169,0.000107890161919,false,includes_zero,-0.000465141036478,9.7194009401e-05,0.000227431343264,4,6,0,0,lower,1000,1.0043,1.0053,-0.001,-0.003,0.0002,false,includes_zero,-0.004,-0.001,0.002,7,2,1,0,tradeoff,0,3,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,fast_all,fast_all,fast_all,common_endpoint,progressive_distance_estimate,1000,1000,1000,10000,20260710,64,64,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.133599797716,0.133557498672,4.2299044177e-05,5.3733239457e-06,7.95629055915e-05,true,favors_pca,-0.00016532100971,4.4828968535e-05,0.00022443256954,3,7,0,0,lower,1000,0.132547192557,0.132505917918,4.12746395451e-05,3.60899203281e-06,7.98228062628e-05,true,favors_pca,-0.000142581038798,4.6564419278e-05,0.000200290761395,3,7,0,0,lower,1000,0.122599120268,0.122559923202,3.919706537e-05,3.53480323258e-06,7.54628477586e-05,true,favors_pca,-0.00012600725203,3.8467142805e-05,0.00018157715772,3,7,0,0,higher,1000,0.617683,0.61778,-9.7e-05,-0.001026025,0.000863025,false,includes_zero,-0.00269,-0.00034,0.00191,4,6,0,0,lower,1000,0.0276501690238,0.0276597049508,-9.5359269157e-06,-0.000126377623568,0.000109972312322,false,includes_zero,-0.000465141036478,9.7194009401e-05,0.000227431343264,4,6,0,0,lower,1000,1.0043,1.0053,-0.001,-0.0029,0.0002,false,includes_zero,-0.004,-0.001,0.002,7,2,1,0,tradeoff,0,3,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,accurate_prefix_1,accurate_prefix_1,accurate_prefix_1,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,136,136,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.0301095531856,0.0301081592801,1.3939054911e-06,-2.21599372609e-05,2.46136341972e-05,false,includes_zero,-2.3403764848e-05,2.401188482e-06,2.1389499318e-05,4,6,0,0,lower,1000,0.0306344970467,0.030632466911,2.03013571841e-06,-2.23300245314e-05,2.63790849875e-05,false,includes_zero,-2.03550540997e-05,1.45040237145e-06,2.26328322233e-05,5,5,0,0,lower,1000,0.0276316954201,0.0276289770997,2.7183203579e-06,-1.84413272988e-05,2.35804688959e-05,false,includes_zero,-2.3383002386e-05,2.602475437e-06,2.1582900149e-05,3,7,0,0,higher,1000,0.901791,0.901926,-0.000135,-0.000668025,0.000401,false,includes_zero,-0.00196,8e-05,0.00115,6,4,0,0,lower,1000,0.00174588290617,0.0017429514379,2.93146827092e-06,-1.21793844517e-05,1.82780703951e-05,false,includes_zero,-2.8031128022e-05,2.23879333328e-06,3.90501574033e-05,5,5,0,0,lower,1000,1,1,0,0,0,false,includes_zero,0,0,0,0,0,10,0,pca_partially_dominates_transform,0,0,6,false,false
residual_pca,current_pca,frozen-pca,seed_average,accurate_prefix_2,accurate_prefix_2,accurate_prefix_2,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,240,240,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.0060517932657,0.00604884652096,2.9467447407e-06,6.00406921022e-07,5.21555934745e-06,true,favors_pca,-1.4124387079e-06,3.06327555465e-06,8.4439944108e-06,3,7,0,0,lower,1000,0.00622994202451,0.00622852678918,1.41523533012e-06,-1.01994771634e-06,3.89015820597e-06,false,includes_zero,-3.02137939328e-06,1.16960163628e-06,5.98297178376e-06,4,6,0,0,lower,1000,0.00562999013166,0.00562667330756,3.31682410281e-06,1.08126508342e-06,5.61691080005e-06,true,favors_pca,-7.814535983e-07,2.9621771762e-06,9.7630875067e-06,2,8,0,0,higher,1000,0.980273,0.980356,-8.3e-05,-0.000316,0.000149025,false,includes_zero,-0.00118,-2.00000000001e-05,0.00046,5,5,0,0,lower,1000,7.64761666572e-05,7.5995209131e-05,4.80957526219e-07,-8.65042265214e-07,1.81980542564e-06,false,includes_zero,-2.21202124825e-06,3.20349877724e-07,4.27843633465e-06,3,7,0,0,lower,1000,1,1,0,0,0,false,includes_zero,0,0,0,0,0,10,0,pca_partially_dominates_transform,0,2,4,false,false
residual_pca,current_pca,frozen-pca,seed_average,accurate_prefix_3,accurate_prefix_3,accurate_prefix_3,matched_intermediate_family_and_bytes,progressive_distance_estimate,1000,1000,1000,10000,20260710,280,280,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.00225104136253,0.00224888345333,2.15790920171e-06,7.35388594889e-07,3.58622380219e-06,true,favors_pca,8.554615891e-07,2.03468853915e-06,3.6593556458e-06,0,10,0,0,lower,1000,0.00229041483692,0.00228846657595,1.9482609722e-06,4.44539052201e-07,3.43434421765e-06,true,favors_pca,4.30833680833e-07,1.92924543299e-06,3.08973593718e-06,0,10,0,0,lower,1000,0.00199878460628,0.00199635687096,2.42773531982e-06,9.84999875162e-07,3.86015839845e-06,true,favors_pca,1.3053235547e-06,2.3864229069e-06,4.088749868e-06,0,10,0,0,higher,1000,0.989893,0.989882,1.1e-05,-0.000152,0.000173,false,includes_zero,-0.00033,1e-05,0.0003,5,4,1,0,lower,1000,2.08907448098e-05,2.073362691e-05,1.57117899882e-07,-3.3694703561e-07,6.50035327448e-07,false,includes_zero,-8.13718774984e-07,-4.9228630495e-09,1.34601803747e-06,5,5,0,0,lower,1000,1,1,0,0,0,false,includes_zero,0,0,0,0,0,10,0,tradeoff,0,3,3,false,false
residual_pca,current_pca,frozen-pca,seed_average,full,full,full,common_endpoint,progressive_distance_estimate,1000,1000,1000,10000,20260710,280,280,21508196,21508196,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.00110826187757,0.00110852291676,-2.610391939e-07,-1.04283010949e-06,5.09444791306e-07,false,includes_zero,-2.0295578488e-06,1.755588195e-08,8.24593148e-07,5,5,0,0,lower,1000,0.00113275112369,0.00113298210119,-2.30977501795e-07,-1.04517058983e-06,5.83997780972e-07,false,includes_zero,-2.23505590632e-06,3.06279701754e-07,9.94330892455e-07,4,6,0,0,lower,1000,0.000874657121277,0.000874880612198,-2.2349092148e-07,-8.51995707542e-07,3.82703019274e-07,false,includes_zero,-1.3405460735e-06,-1.551684362e-07,7.73272501e-07,6,4,0,0,higher,1000,0.989901,0.989913,-1.2e-05,-0.000173025,0.000151,false,includes_zero,-0.00029,-5.55111512313e-17,0.00026,5,5,0,0,lower,1000,2.08621264661e-05,2.07015004708e-05,1.60625995328e-07,-3.25609673386e-07,6.59941444886e-07,false,includes_zero,-8.22972807562e-07,1.7651708565e-09,1.39437021235e-06,5,5,0,0,lower,1000,1,1,0,0,0,false,includes_zero,0,0,0,0,0,10,0,tradeoff,0,0,6,false,false
residual_pca,current_pca,frozen-pca,off,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,conservative_lower_bound_not_ordinary_distance_estimator,1000,1000,1000,10000,20260710,16,16,21213284,21213284,true,true,true,true,partial_diagnostic_index_serialization_plus_logical_requested_bytes,lower,1000,0.62622882227,0.626707465665,-0.000478643395,-0.000996499401545,4.06299777625e-05,false,includes_zero,-0.000478643395,-0.000478643395,-0.000478643395,1,0,0,0,lower,1000,0.622349255078,0.622792151419,-0.000442896340583,-0.000961758554334,7.78259091361e-05,false,includes_zero,-0.000442896340583,-0.000442896340583,-0.000442896340583,1,0,0,0,lower,1000,0.615294429174,0.615629147632,-0.0003347184586,-0.00082490378783,0.000167138069672,false,includes_zero,-0.0003347184586,-0.0003347184586,-0.0003347184586,1,0,0,0,higher,1000,0.12617,0.12414,0.00203,0.00100975,0.00305,true,favors_transform,0.00203,0.00203,0.00203,1,0,0,0,lower,1000,0.256890465776,0.259155564483,-0.00226509870768,-0.00289505971961,-0.00163305144232,true,favors_transform,-0.00226509870768,-0.00226509870768,-0.00226509870768,1,0,0,0,lower,1000,951.904,967.708,-15.804,-20.993,-10.71195,true,favors_transform,-15.804,-15.804,-15.804,1,0,0,0,not_applicable_conservative_bound,3,0,3,false,false
