transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.62622882227,0.626707465665,-0.000478643395,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,pooled_candidate_rmse,lower,1000,0.622349255078,0.622792151419,-0.000442896340583,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,candidate_mae,lower,1000,0.615294429174,0.615629147632,-0.0003347184586,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,topk_agreement,higher,1000,0.12617,0.12414,0.00203,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,boundary_inversion_rate,lower,1000,0.256890465776,0.259155564483,-0.00226509870768,favors_transform,true
residual_pca,current_pca,frozen-pca,-1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,exact_best_rank,lower,1000,951.904,967.708,-15.804,favors_transform,true
residual_pca,current_pca,frozen-pca,0,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228821071,0.626707463647,-0.0004786425767,favors_transform,true
residual_pca,current_pca,frozen-pca,1,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228822791,0.626707466335,-0.000478643544,favors_transform,true
residual_pca,current_pca,frozen-pca,2,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228824122,0.62670746634,-0.000478642218,favors_transform,true
residual_pca,current_pca,frozen-pca,3,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228823169,0.626707465553,-0.0004786423843,favors_transform,true
residual_pca,current_pca,frozen-pca,4,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228819178,0.626707463109,-0.0004786439312,favors_transform,true
residual_pca,current_pca,frozen-pca,5,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228819429,0.626707463924,-0.0004786444951,favors_transform,true
residual_pca,current_pca,frozen-pca,6,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,vars_conservative_lower_bound_all,common_endpoint,mean_per_query_candidate_rmse,lower,1000,0.626228816423,0.626707459223,-0.0004786427995,favors_transform,true
