query,candidate_count,candidate_ids_fnv1a64,exact_id_distance_fnv1a64,exact_best_id,exact_topk_used,exact_topk_ids,exact_topk_boundary_distance,exact_first_outside_distance,exact_boundary_gap,exact_reference_scope
0,2064,3d01112108f4e803,9be63703cec9495a,38,100,"38|1091|14957|3797|21619|50039|2943|48985|1555|152|27801|6235|34797|51580|15660|52626|27209|15106|53466|57783|36556|30568|54567|43013|45987|34621|4157|31804|40634|13516|56018|9293|23516|39777|59690|14861|41656|7776|29936|37186|22030|53432|25099|14975|13907|55156|58703|55659|4214|16277|40489|51637|15943|0|21041|1933|47929|13946|28058|37967|53671|3639|28116|33480|36387|58519|23013|27967|42192|33518|24108|36784|7393|47161|59804|16495|38739|52068|22345|29841|12190|13159|31156|5212|52803|20450|53420|58873|35820|10242|44095|46354|10203|52575|2409|1713|34361|56878|10570|46112",0.64406854779246214,0.6442525930054237,0.00018404521296155885,canonical_raw_float64_squared_L2
1,2041,60b4eb2bc5a2db05,e200196ce89dce98,42,100,"42|2441|11033|20704|3949|51124|51093|10710|29706|9674|31821|56422|17714|31169|12109|23696|38613|974|56888|54675|6694|58397|8569|52828|7209|25104|49055|54200|18993|7256|20904|45660|22594|54491|48976|5946|28414|59119|13035|51248|38605|51548|26024|32015|29862|21488|53947|27100|9650|2716|21211|25929|48937|21145|6452|26902|45601|27430|44260|41961|53595|43010|18043|29637|44288|2091|2147|21158|53521|32523|32073|25622|25498|34695|38631|27021|50821|30059|41412|11064|373|26481|59627|22218|47672|50647|53451|26030|58780|40379|15203|54834|34152|54146|6518|8447|15050|41041|28913|48191",0.39606855349176218,0.39607412082088805,5.5673291258773183e-06,canonical_raw_float64_squared_L2
2,2212,2206e847ea5f77b2,4b1e0328f5a92405,99,100,"99|39977|482|39248|11110|22202|17000|29852|58056|18135|41790|24268|3606|22240|15090|50659|23403|39|27584|27253|1190|22838|10719|46373|58369|21446|13939|24310|24046|42326|29867|36099|13715|39743|49564|38517|1436|52673|11099|35843|44898|35106|44803|13499|22126|36684|15746|50987|53952|56841|57446|54863|6035|9602|14768|24480|33081|4262|47859|13261|38895|32123|31748|55368|32235|37875|22166|2489|22367|54031|12038|45801|31431|59377|8454|6509|30306|27725|58468|48929|22063|9084|13049|13320|52851|11486|26647|14074|37390|26627|24699|31928|13114|57259|9952|2152|58398|17694|10594|354",0.6162047473444956,0.61633031938775051,0.00012557204325491789,canonical_raw_float64_squared_L2
3,2689,785e8a1bbbd4319b,369342c1c9e7ad28,152,100,"152|52626|549|51865|3434|14652|54693|56131|42146|14639|32997|36514|18195|57101|46112|49359|38195|10267|53272|48447|36773|31515|4905|48955|16709|37272|28913|59620|44243|58899|21619|49120|49835|45737|45369|37016|59837|197|46630|18632|28700|3823|39655|12552|21876|43335|6924|58681|4452|15668|16904|30921|55102|44737|622|14254|6877|15587|51140|27412|53671|20967|29823|18320|27072|9446|55693|32525|10011|44695|43264|23516|17870|33529|37639|46998|39537|12997|3146|36913|4032|6498|20588|13673|50254|35525|56988|10242|409|17635|15813|58240|51637|48408|10949|29980|30243|54705|52783|37645",0.42691722402738175,0.4281285611476105,0.0012113371202287504,canonical_raw_float64_squared_L2
4,1915,431ed5040771c334,6fb4033ac5af6f13,155,100,"155|5404|21802|8741|15745|51422|8070|15730|34315|10673|4925|38694|13115|41008|48908|7118|20916|15346|7643|1960|17318|32977|135|6904|7013|56069|49473|44782|58407|19664|28507|3516|26484|47504|5633|18013|8397|26164|2209|39075|11096|15268|48320|18012|41615|19621|43622|1162|22712|57193|16501|34276|52837|48936|24787|43817|51101|30699|39507|48299|14350|33613|32014|41118|35408|24876|18875|3469|59988|45419|54351|27846|43540|22400|53903|26514|9314|29421|31774|51557|29689|19639|53957|13386|34977|8425|41335|12024|17416|6630|38254|9258|37832|35109|42245|58117|749|4953|25207|24020",0.48511009149059403,0.48514142421515605,3.1332724562016523e-05,canonical_raw_float64_squared_L2
5,1744,df7efd96255de487,d23aa979c8fd9056,179,100,"179|51000|27628|23998|31078|48045|37344|20158|21502|18919|40263|22771|21735|23963|19022|29050|2986|16701|39465|58330|1661|29554|18729|5326|53255|30159|54567|4844|16795|38758|33046|46064|52430|42177|47647|31452|17737|38134|10128|26343|42619|4850|31574|9828|59730|8338|22028|13679|51680|4394|28638|45224|46919|26626|1363|59155|46378|54393|8030|45066|54358|54500|38953|21465|59122|24636|27560|51494|32774|55825|14977|50543|11494|42330|16259|18313|18942|3960|40457|2648|27894|56310|52352|56683|50784|20414|29211|5581|44118|51273|24265|16112|26606|2691|48039|338|30474|2525|33320|9285",0.89912934407715639,0.90000848790206622,0.00087914382490983378,canonical_raw_float64_squared_L2
6,2191,d35eb6d1bdbb477a,4758359715581ea7,295,100,"295|40381|26518|17110|55261|6610|10894|58453|10299|4557|13512|51475|12576|27589|1433|3316|2767|53670|32507|2991|1273|40082|25021|1378|35676|57584|26483|47007|37490|23856|118|24407|25303|53488|56749|19549|11504|34386|24041|34629|46623|24458|34860|47307|12902|55765|5496|44206|14357|35893|2204|34908|17746|34474|15204|41524|14384|23717|59875|17846|9452|15680|49584|59207|24034|37058|2477|39721|40494|17061|54218|51915|49026|13869|59726|59197|58915|6116|39771|35197|38668|3830|13509|37739|26506|37465|27697|25910|22623|32249|55730|17367|49046|9211|49385|22127|31771|36102|9267|51417",0.56192833814434473,0.5626432950193957,0.00071495687505096495,canonical_raw_float64_squared_L2
7,2149,aedb51215bf8db92,4e87ecfbdeaa37cc,334,100,"334|4199|17670|56572|4687|39615|26475|42088|45846|57550|59160|3759|42675|4532|36178|40186|50624|52991|29326|53962|31063|42747|15324|10105|4317|4253|27276|153|20923|24472|28590|34840|434|44147|12756|20645|15549|52180|37234|57094|20299|34518|45450|57582|28388|20673|9260|45136|35915|19532|46918|48527|27409|39473|52824|48368|11299|3189|48862|15842|42977|10552|30593|54974|43714|36810|43584|8918|57288|22739|35265|21281|46591|959|55059|58706|16073|35460|48889|14612|17934|5393|10466|12617|25156|3782|29835|48467|37560|18155|37451|25834|6270|19548|20363|53595|52763|49272|44049|34406",0.62627479249559392,0.6264079470228906,0.00013315452729667498,canonical_raw_float64_squared_L2
8,2411,52ab33f51d866c09,b0631ad77d030847,337,100,"337|56063|32880|26116|16393|36880|19496|59621|27100|32523|2710|5361|25143|38156|54491|50746|46245|6528|53455|8930|3271|5486|24017|2776|26068|831|34953|32986|59666|14181|50282|2699|12525|5178|17849|57726|11819|26634|23558|51003|22828|52805|34167|52294|38225|15587|52762|38776|36764|47595|44879|7690|22153|16556|31256|34156|54675|48277|57445|25108|18720|37450|8631|15949|53131|17583|26084|19462|20591|49327|20051|41249|36243|45555|9625|41387|34713|19360|27274|41561|24379|39494|36602|2982|36347|57855|20225|11573|42516|47062|53596|32587|15457|2605|7559|49412|11759|36242|45490|2091",0.45323005543894607,0.45395713791012449,0.00072708247117841962,canonical_raw_float64_squared_L2
9,2260,d3102e6ee40d3ab1,b5a3c056a0336536,392,100,"392|25465|28779|18233|26475|4435|22436|11064|41789|15606|51337|4350|57099|56422|27895|49644|52236|17009|32364|41565|52182|26030|13926|10703|19532|32352|4463|2254|24337|23670|51548|47672|55829|9900|27109|53949|1928|56216|43720|33600|46063|24276|40085|10555|51759|23018|11033|10710|27463|51883|34320|3277|56035|56506|2147|26884|20102|38427|54834|36810|57094|31579|56259|21436|51836|29803|10046|29004|23059|59160|3949|36396|27772|28590|13215|5848|55047|52763|46030|42256|34243|17193|37151|55575|47218|58782|20655|55289|51586|19897|29180|15549|51887|32895|48208|33511|4104|21765|42549|37560",0.46974384996086971,0.47058025440129458,0.00083640444042487605,canonical_raw_float64_squared_L2
