dataset	fold	plan	exact_budget	constrained_DP	S_fit_no_worse_than_E	fit_S	fit_E
SIFT1M	A_TO_B	ADJ	PASS	PASS_runtime	PASS	3723447.242941086	3726180.9072679817
SIFT1M	A_TO_B	CORR_GREEDY	PASS	PASS_runtime	PASS	3733499.9114223584	3733499.9114223584
SIFT1M	A_TO_B	EA	PASS	PASS_runtime	PASS	3726020.9511033446	3726020.9511033446
SIFT1M	B_TO_A	ADJ	PASS	PASS_runtime	PASS	3694864.2256570905	3697350.9602308404
SIFT1M	B_TO_A	CORR_GREEDY	PASS	PASS_runtime	PASS	3684592.1103187916	3684592.1103187916
SIFT1M	B_TO_A	EA	PASS	PASS_runtime	PASS	3674882.980863689	3674882.980863689
GIST1M_HEAD128	A_TO_B	ADJ	PASS	PASS_runtime	PASS	92.7552506151491	93.0014528183913
GIST1M_HEAD128	A_TO_B	CORR_GREEDY	PASS	PASS_runtime	PASS	93.30854138764614	93.48534525826675
GIST1M_HEAD128	A_TO_B	EA	PASS	PASS_runtime	PASS	92.1820140732488	92.1820140732488
GIST1M_HEAD128	B_TO_A	ADJ	PASS	PASS_runtime	PASS	94.61249407862326	95.12660826416648
GIST1M_HEAD128	B_TO_A	CORR_GREEDY	PASS	PASS_runtime	PASS	94.53212528349744	94.53212528349744
GIST1M_HEAD128	B_TO_A	EA	PASS	PASS_runtime	PASS	94.42969712214611	94.42969712214611
