resource_log	status	exit_status	cpu_seconds	counted_in_completed_total	duplicate_inode	peak_rss_bytes	wall_elapsed	command
data_aware_minimal_2026_09_23/audit_resources.txt	COMPLETED_SUCCESS	0	0.31	1	0	45719552	0:03.78	"""timeout 120s taskset -c 0-3 prlimit --as=17179869184:17179869184 --cpu=120:120 env OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 PYTHONDONTWRITEBYTECODE=1 bash results/data_aware_minimal_2026_09_23/audit.sh"""
data_aware_minimal_2026_09_23/cache_audit_resources.txt	COMPLETED_SUCCESS	0	1.00	1	0	15728640	0:01.58	"""timeout 120s taskset -c 0-3 prlimit --as=17179869184:17179869184 --cpu=120:120 env OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 PYTHONDONTWRITEBYTECODE=1 python3 results/data_aware_minimal_2026_09_23/cache_audit.py"""
data_aware_rebuild_2026_09_23/download_head_resources.txt	COMPLETED_SUCCESS	0	0.00	1	0	9633792	0:04.14	"""timeout 35s curl --fail --location --head --connect-timeout 15 --max-time 30 ftp://ftp.irisa.fr/local/texmex/corpus/gist.tar.gz"""
data_aware_rebuild_2026_09_23/implementation_checks/final_test_resources.txt	COMPLETED_SUCCESS	0	0.40	1	0	73728000	0:00.44	"""timeout 120s bash -c ulimit -t 115; python -B -m unittest research.correlated_pair_allocation.test_diagnostic research.correlated_pair_allocation.test_strong_baselines"""
data_aware_rebuild_2026_09_23/implementation_checks/help_resources.txt	COMPLETED_SUCCESS	0	0.09	1	0	37859328	0:00.11	"""python -B -m research.correlated_pair_allocation.strong_baselines --help"""
data_aware_rebuild_2026_09_23/implementation_checks/syntax_resources.txt	COMPLETED_SUCCESS	0	0.02	1	0	12779520	0:00.03	"""python -B -c import ast; from pathlib import Path; paths = [Path(""research/correlated_pair_allocation"") / name for name in (""diagnostic.py"", ""strong_baselines.py"", ""test_strong_baselines.py"")]; [ast.parse(path.read_text(), filename=str(path)) for path in paths]; print(""Syntax parsed:"", "", "".join(map(str, paths)))"""
data_aware_rebuild_2026_09_23/implementation_checks/test_resources.txt	COMPLETED_SUCCESS	0	0.41	1	0	73371648	0:00.47	"""timeout 120s bash -c ulimit -t 115; python -B -m unittest research.correlated_pair_allocation.test_diagnostic research.correlated_pair_allocation.test_strong_baselines"""
data_aware_rebuild_2026_09_23/logs/assemble_gist_resources.txt	COMPLETED_SUCCESS	0	29.83	1	0	30539776	0:31.19	"""timeout 240s taskset -c 0 prlimit --as=536870912:536870912 --cpu=180:180 python3 -B results/data_aware_rebuild_2026_09_23/assemble_gist.py"""
data_aware_rebuild_2026_09_23/logs/build_resources.txt	COMPLETED_SUCCESS	0	231.94	1	0	713936896	8:40.79	"""timeout 750s taskset -c 0-1 prlimit --as=8589934592:8589934592 --cpu=700:700 env OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 bash -c set -eu; cmake -S research/structured_2d -B /tmp/saq-data-aware-rebuild-20260923/build -DCMAKE_BUILD_TYPE=Release -DBLAS_LIBRARIES=/usr/lib64/libopenblaso.so.0 -DLAPACK_LIBRARIES=/usr/lib64/libopenblaso.so.0 -DFAISS_OPT_LEVEL=generic -DFAISS_ENABLE_C_API=OFF -DFAISS_ENABLE_EXTRAS=OFF; cmake --build /tmp/saq-data-aware-rebuild-20260923/build --target correlated_pair_rebuild_panel -j2"""
data_aware_rebuild_2026_09_23/logs/configure_resources.txt	COMPLETED_SUCCESS	0	1.15	1	0	26722304	0:24.53	"""timeout 90s taskset -c 0-1 env OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 cmake -S research/structured_2d -B build/data-aware-minimal -DCMAKE_BUILD_TYPE=Release -DBLAS_LIBRARIES=/usr/lib64/libopenblaso.so.0 -DLAPACK_LIBRARIES=/usr/lib64/libopenblaso.so.0 -DFAISS_OPT_LEVEL=generic -DFAISS_ENABLE_C_API=OFF -DFAISS_ENABLE_EXTRAS=OFF"""
data_aware_rebuild_2026_09_23/logs/download_gist_resources.txt	COMPLETED_NONZERO	124	0.61	1	0	9437184	7:26.76	"""timeout 390s taskset -c 3 prlimit --as=17179869184:17179869184 --cpu=120:120 curl --fail --location --connect-timeout 15 --max-time 380 --speed-time 60 --speed-limit 262144 --max-filesize 2800000000 --output results/data_aware_rebuild_2026_09_23/downloads/gist.tar.gz.part ftp://ftp.irisa.fr/local/texmex/corpus/gist.tar.gz"""
data_aware_rebuild_2026_09_23/logs/download_gist_resume_resources.txt	COMPLETED_SUCCESS	0	7.16	1	0	9437184	16:03.93	"""timeout 1210s taskset -c 3 prlimit --as=17179869184:17179869184 --cpu=180:180 curl --fail --location --silent --show-error --continue-at - --connect-timeout 15 --max-time 1200 --speed-time 90 --speed-limit 131072 --max-filesize 2800000000 --output /tmp/saq-data-aware-rebuild-20260923/gist.tar.gz.part --write-out received_bytes=%{size_download}\naverage_bytes_per_second=%{speed_download}\nwall_seconds=%{time_total}\n ftp://ftp.irisa.fr/local/texmex/corpus/gist.tar.gz"""
data_aware_rebuild_2026_09_23/logs/download_ranges_resources.txt	COMPLETED_SUCCESS	0	20.74	1	0	10223616	12:52.15	"""timeout 1020s taskset -c 0-3 prlimit --as=536870912:536870912 --cpu=180:180 curl --parallel --parallel-immediate --parallel-max 4 --config results/data_aware_rebuild_2026_09_23/download_ranges.curl"""
