dataset	stage	fold	plan	arm	group	dim1	dim2	local_axis	bits	group_bits	fit_sse	eval_sse
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	0	0	1	0	4	8	102167.68568000736	103041.26660928511
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	0	0	1	1	4	8	134347.228766953	99086.78698231722
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	1	2	3	0	4	8	111648.03624010846	109376.9968218786
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	1	2	3	1	4	8	95596.07615110191	86919.6774125302
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	2	4	5	0	4	8	114379.97402925338	104897.41978680994
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	2	4	5	1	4	8	98694.57260596205	118390.75556527576
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	3	6	7	0	4	8	129328.37066190009	117135.93476594114
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	3	6	7	1	4	8	95889.2816947237	93325.06723670967
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	4	8	9	0	4	8	97201.11341290627	102584.60829000545
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	4	8	9	1	4	8	87451.06548781008	87634.87537522483
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	5	10	11	0	4	8	102854.96851409208	105068.0641227939
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	5	10	11	1	4	8	96621.12648862698	90410.2137487272
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	6	12	13	0	4	8	87367.46337925202	95367.15013270325
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	6	12	13	1	4	8	86048.22173639978	87714.43303256332
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	7	14	15	0	4	8	82753.66492857464	84241.11220221651
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	7	14	15	1	4	8	68109.05843293291	77784.85835454053
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	8	16	17	0	4	8	87507.14615367261	88090.87340085563
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	8	16	17	1	4	8	89743.64679271755	87613.68253185027
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	9	18	19	0	4	8	76168.89862860004	83376.22746055541
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	9	18	19	1	4	8	73113.10471352554	70702.93474491284
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	10	20	21	0	4	8	84804.21063771567	85975.19573569667
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	10	20	21	1	4	8	73998.39160316536	71523.8299221139
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	11	22	23	0	4	8	78321.39647172976	79270.97646372547
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	11	22	23	1	4	8	68651.96217863432	75460.57896898319
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	12	24	25	0	4	8	75977.93687184025	74578.3314242244
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	12	24	25	1	4	8	68623.24386412397	66170.69447407073
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	13	26	27	0	4	8	72800.43760905051	72761.30584430379
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	13	26	27	1	4	8	65734.80962650862	74490.05300399066
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	14	28	29	0	4	8	65532.71001406523	62912.26367675623
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	14	28	29	1	4	8	58907.48940025142	55881.77541452895
