dataset	stage	fold	plan	group	dim1	dim2	local_axis	bits	fit_sse	eval_sse	fit_variance	center_count	codebook_sha256
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	1	3479968.947793047	3344394.903567414	1132.994108115436	2	56c456c8af9c507efa400f36179905ec9467283505c737882182c94bad6af570
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	2	1145768.8065157104	1110647.2310083276	1132.994108115436	4	bc06b355ec6838367f4ad3fcc454f749aa3953634f7ca6854d5aab37e5aa028c
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	3	332055.108657461	335842.9265194602	1132.994108115436	8	f93919d8734f86a880a4050cf4eb78c303fab707f3419da2b35c7548fad89a30
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	4	102167.68568000736	103041.26660928511	1132.994108115436	16	8d03d67986ace84e5de3cb189c10711698d7cf91014473d42e29d709cd539703
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	5	36092.53582372655	38251.83355641382	1132.994108115436	32	8f2a748e3cbe23b59b43a4fb0bc93257cea57dca4afd6d53f1a3bbcc713dcc8c
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	6	15726.33750820859	17524.969890171877	1132.994108115436	64	5dd910bca98e5cd60fb5ef5e6cc3fa927247f319270cb4e22263457f25a249f5
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	7	5662.943544077441	6748.297659642091	1132.994108115436	128	4bd0379584c2227c512691ba330e0c6d27e4be3382984ae393ef41efc6465fd2
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	8	2715.0334226668756	3930.569756915724	1132.994108115436	256	ffbbdb050f0b08424cf8f7fcc2abb3f82078e5002fccb8449d7ad4a8f664a80d
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	0	9	1415.4113511811993	2192.8835869960426	1132.994108115436	512	4e417ec50037636e5f97070c1c43383aec438bc505400b0ccddbe998203a507c
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	1	3240936.8268996375	2951912.0675125835	1023.7978390019842	2	2a2310c8d9c17efb5aa7538c6e7a637bc915e244a6a52e81d912daf85285c5f9
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	2	1197752.2244432555	1013424.4762236145	1023.7978390019842	4	e07c85d113adb52181888c053b6ac0d74593af21b0233d9b070686e27039ae42
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	3	403307.1349398863	316902.9266053001	1023.7978390019842	8	e86b3cdbf7e36fcc50bedc13854e1524207707446143aaa014530104b448ac3b
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	4	134347.228766953	99086.78698231722	1023.7978390019842	16	dfcd3e18cc052dbdea6d92bf9864f7cb60a13c98e2aa6a7a1243fa43f68a8304
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	5	54436.73491909734	43759.96174082195	1023.7978390019842	32	37c7a04690789742988e01a0ee970b9d55a8d8fa4026cb365b43fbbcefda390e
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	6	24516.592611234082	19913.07547645986	1023.7978390019842	64	4792381de96e82138384e0f0a8be78d294cbb5868623488ae7e4bc5f6e26ba9a
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	7	12676.035509752233	8562.809597430234	1023.7978390019842	128	5f412911722f2408232558db943b04ca83d15ed10de6e7864d0a153721629e83
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	8	7724.183209009532	5096.802015066222	1023.7978390019842	256	750768fafdfae3034543f2331cbce3cb7a16c6bf18e0748f2afe2a8b0b2a95d0
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	0	0	1	1	9	5456.497916241869	2941.142534786347	1023.7978390019842	512	7c6ccccdf83b54578e7eb420d556dfa1a8f41b29f9bbc787dbdf58b527fac71c
