dataset	fold	candidate	comparator	candidate_eval_sse_per_vector	comparator_eval_sse_per_vector	gain_fraction
SIFT1M	A_TO_B	CORR_GREEDY-E	CORR_GREEDY-S	463.26229388497615	463.26229388497615	0.0
SIFT1M	A_TO_B	CORR_GREEDY-E	CORR_GREEDY-V	463.26229388497615	463.4155252121885	0.0003306564387159927
SIFT1M	A_TO_B	CORR_GREEDY-E	ADJ-S	463.26229388497615	459.6165981387077	-0.007932036747655191
SIFT1M	A_TO_B	CORR_GREEDY-E	EA-S	463.26229388497615	459.7033318645381	-0.007741866925356167
SIFT1M	B_TO_A	CORR_GREEDY-E	CORR_GREEDY-S	471.0698632703696	471.0698632703696	0.0
SIFT1M	B_TO_A	CORR_GREEDY-E	CORR_GREEDY-V	471.0698632703696	471.295260403602	0.0004782503711991959
SIFT1M	B_TO_A	CORR_GREEDY-E	ADJ-S	471.0698632703696	473.3638560470688	0.004846151110597496
SIFT1M	B_TO_A	CORR_GREEDY-E	EA-S	471.0698632703696	470.8770183165574	-0.0004095442043479114
GIST1M_HEAD128	A_TO_B	CORR_GREEDY-E	CORR_GREEDY-S	0.012516228094707139	0.012470381828535711	-0.0036764123827002226
GIST1M_HEAD128	A_TO_B	CORR_GREEDY-E	CORR_GREEDY-V	0.012516228094707139	0.012581353245868981	0.00517632323718642
GIST1M_HEAD128	A_TO_B	CORR_GREEDY-E	ADJ-S	0.012516228094707139	0.012527300740908512	0.0008838812470761681
GIST1M_HEAD128	A_TO_B	CORR_GREEDY-E	EA-S	0.012516228094707139	0.012492200679391618	-0.001923393318133293
GIST1M_HEAD128	B_TO_A	CORR_GREEDY-E	CORR_GREEDY-S	0.012320510122321503	0.012320510122321503	0.0
GIST1M_HEAD128	B_TO_A	CORR_GREEDY-E	CORR_GREEDY-V	0.012320510122321503	0.012413885212554139	0.007521826457538516
GIST1M_HEAD128	B_TO_A	CORR_GREEDY-E	ADJ-S	0.012320510122321503	0.012333725467700667	0.0010714804228268981
GIST1M_HEAD128	B_TO_A	CORR_GREEDY-E	EA-S	0.012320510122321503	0.012250663006328951	-0.005701496805231576
