dataset	stage	fold	plan	arm	fit_total_sse	eval_total_sse	fit_sse_per_vector	eval_sse_per_vector	eval_gain_vs_U_pct	payload_bits_per_vector	payload_bytes_per_vector	groups_outside_6_10	axes_bits_1	axes_bits_2	axes_bits_3	axes_bits_4	axes_bits_5	axes_bits_6	axes_bits_7	axes_bits_8	axes_bits_9	shared_transform_bytes	shared_pairing_bytes	shared_bit_metadata_bytes	shared_selected_codebook_bytes	selected_lookup_entries	shared_model_total_bytes	archive_file	archive_sha256	archive_bytes	pairing_shared_compute_cpu_seconds	pairing_shared_compute_wall_seconds
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	U	4849721.938657043	4855470.591761176	592.007072589971	592.7088124708466	0.0	512	64	0	0	0	0	128	0	0	0	0	0	3072	128	128	16384	2048	19712	models/SIFT1M_A_TO_B_ADJ.npz	ab2040607163ffebfe0a722023d2ac6688dfdef93c54bc42fea7291ce553daa4	1341242	9.446015817000001	9.46574879065156
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	3729076.4104287056	3771776.043593357	455.20952275741035	460.4218803214547	22.319042566268354	512	64	0	0	0	36	56	36	0	0	0	0	3072	128	128	18688	2336	22016	models/SIFT1M_A_TO_B_ADJ.npz	ab2040607163ffebfe0a722023d2ac6688dfdef93c54bc42fea7291ce553daa4	1341242	9.446015817000001	9.46574879065156
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	E	3726180.9072679817	3766230.5397144053	454.85606778173604	459.7449389299811	22.43325402680858	512	64	0	0	0	37	54	37	0	0	0	0	3072	128	128	18752	2344	22080	models/SIFT1M_A_TO_B_ADJ.npz	ab2040607163ffebfe0a722023d2ac6688dfdef93c54bc42fea7291ce553daa4	1341242	9.446015817000001	9.46574879065156
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	S	3723447.242941086	3765179.1719522933	454.5223685230818	459.6165981387077	22.454907288675642	512	64	1	0	1	35	55	37	0	0	0	0	3072	128	128	18784	2348	22112	models/SIFT1M_A_TO_B_ADJ.npz	ab2040607163ffebfe0a722023d2ac6688dfdef93c54bc42fea7291ce553daa4	1341242	9.446015817000001	9.46574879065156
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	U	4683828.926550401	4722213.299293445	571.756460760547	576.4420531364069	0.0	512	64	0	0	0	12	104	12	0	0	0	0	3072	128	128	17152	2144	20480	models/SIFT1M_A_TO_B_CORR_GREEDY.npz	61b18f8958e87af9f0d1d6afd551c4388e31c3893d5817be5f1f60fab57cc43f	1341242	9.790660357	9.812222579494119
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	V	3736696.966515206	3796299.9825382484	456.1397664203132	463.4155252121885	19.60761316931058	512	64	0	0	1	34	57	36	0	0	0	0	3072	128	128	18720	2340	22048	models/SIFT1M_A_TO_B_CORR_GREEDY.npz	61b18f8958e87af9f0d1d6afd551c4388e31c3893d5817be5f1f60fab57cc43f	1341242	9.790660357	9.812222579494119
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	E	3733499.9114223584	3795044.7115057246	455.7495009060496	463.26229388497615	19.634195429639888	512	64	0	0	1	35	55	37	0	0	0	0	3072	128	128	18784	2348	22112	models/SIFT1M_A_TO_B_CORR_GREEDY.npz	61b18f8958e87af9f0d1d6afd551c4388e31c3893d5817be5f1f60fab57cc43f	1341242	9.790660357	9.812222579494119
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	CORR_GREEDY	S	3733499.9114223584	3795044.7115057246	455.7495009060496	463.26229388497615	19.634195429639888	512	64	0	0	1	35	55	37	0	0	0	0	3072	128	128	18784	2348	22112	models/SIFT1M_A_TO_B_CORR_GREEDY.npz	61b18f8958e87af9f0d1d6afd551c4388e31c3893d5817be5f1f60fab57cc43f	1341242	9.790660357	9.812222579494119
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	EA	U	3730435.1488057347	3768091.1400650456	455.37538437570004	459.9720629962214	0.0	512	64	0	0	0	37	54	37	0	0	0	0	3072	128	128	18752	2344	22080	models/SIFT1M_A_TO_B_EA.npz	66b5eef05b1b9b6f2e619450c2eb22153570a652fd22e34cb62408bfe0666961	1341242	9.642150860000001	9.66252392437309
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	EA	V	3731980.3536185306	3776307.656476187	455.56400801007453	460.9750557221908	-0.2180551400091657	512	64	0	0	1	34	57	36	0	0	0	0	3072	128	128	18720	2340	22048	models/SIFT1M_A_TO_B_EA.npz	66b5eef05b1b9b6f2e619450c2eb22153570a652fd22e34cb62408bfe0666961	1341242	9.642150860000001	9.66252392437309
