dataset	dimensions	fold	segment	rotation	allocation	pair	coordinate0	bits_per_coordinate	original_bits
sift	128	A_TO_B	0	IDENTITY	UNIFORM	0	0	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	1	2	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	2	4	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	3	6	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	4	8	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	5	10	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	6	12	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	7	14	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	8	16	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	9	18	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	10	20	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	11	22	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	12	24	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	13	26	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	14	28	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	15	30	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	16	32	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	17	34	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	18	36	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	19	38	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	20	40	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	21	42	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	22	44	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	23	46	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	24	48	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	25	50	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	26	52	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	27	54	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	28	56	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	29	58	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	30	60	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	31	62	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	32	64	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	33	66	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	34	68	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	35	70	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	36	72	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	37	74	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	38	76	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	39	78	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	40	80	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	41	82	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	42	84	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	43	86	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	44	88	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	45	90	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	46	92	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	47	94	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	48	96	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	49	98	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	50	100	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	51	102	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	52	104	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	53	106	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	54	108	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	55	110	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	56	112	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	57	114	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	58	116	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	59	118	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	60	120	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	61	122	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	62	124	4	4
sift	128	A_TO_B	0	IDENTITY	UNIFORM	63	126	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	0	0	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	1	2	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	2	4	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	3	6	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	4	8	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	5	10	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	6	12	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	7	14	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	8	16	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	9	18	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	10	20	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	11	22	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	12	24	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	13	26	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	14	28	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	15	30	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	16	32	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	17	34	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	18	36	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	19	38	4	4
