dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	0	1	8375050.693172196
sift	128	A_TO_B	0	IDENTITY	0	2	2019622.181633835
sift	128	A_TO_B	0	IDENTITY	0	3	507114.6469686017
sift	128	A_TO_B	0	IDENTITY	0	4	126940.90703704586
sift	128	A_TO_B	0	IDENTITY	0	5	32245.314162006587
sift	128	A_TO_B	0	IDENTITY	0	6	8063.15680792284
sift	128	A_TO_B	0	IDENTITY	0	7	2003.7169477769276
sift	128	A_TO_B	0	IDENTITY	0	8	504.7232262422399
sift	128	A_TO_B	0	IDENTITY	0	9	124.09993380721272
sift	128	A_TO_B	0	IDENTITY	0	10	31.13924773447888
sift	128	A_TO_B	0	IDENTITY	0	11	7.835262656361673
sift	128	A_TO_B	0	IDENTITY	1	1	8557461.64150054
sift	128	A_TO_B	0	IDENTITY	1	2	2089406.0970864145
sift	128	A_TO_B	0	IDENTITY	1	3	521576.8612466995
sift	128	A_TO_B	0	IDENTITY	1	4	130797.93222992274
sift	128	A_TO_B	0	IDENTITY	1	5	32984.820124311154
sift	128	A_TO_B	0	IDENTITY	1	6	8125.571354820775
sift	128	A_TO_B	0	IDENTITY	1	7	2047.5527185729188
sift	128	A_TO_B	0	IDENTITY	1	8	507.44215089225486
sift	128	A_TO_B	0	IDENTITY	1	9	127.43515442695158
sift	128	A_TO_B	0	IDENTITY	1	10	31.800428189236676
sift	128	A_TO_B	0	IDENTITY	1	11	7.8982943520889926
sift	128	A_TO_B	0	IDENTITY	2	1	8587462.615104701
sift	128	A_TO_B	0	IDENTITY	2	2	2077064.271522109
sift	128	A_TO_B	0	IDENTITY	2	3	520314.51594020077
sift	128	A_TO_B	0	IDENTITY	2	4	129537.79396394273
sift	128	A_TO_B	0	IDENTITY	2	5	32423.2774425408
sift	128	A_TO_B	0	IDENTITY	2	6	8065.830417952842
sift	128	A_TO_B	0	IDENTITY	2	7	2022.8227486500004
sift	128	A_TO_B	0	IDENTITY	2	8	505.9302034678997
sift	128	A_TO_B	0	IDENTITY	2	9	128.01536035912937
sift	128	A_TO_B	0	IDENTITY	2	10	31.97410274018811
sift	128	A_TO_B	0	IDENTITY	2	11	8.023947163698136
sift	128	A_TO_B	0	IDENTITY	3	1	8758315.70327939
sift	128	A_TO_B	0	IDENTITY	3	2	2096403.256776901
sift	128	A_TO_B	0	IDENTITY	3	3	530134.3001123423
sift	128	A_TO_B	0	IDENTITY	3	4	133651.68956262042
sift	128	A_TO_B	0	IDENTITY	3	5	32921.95119993626
sift	128	A_TO_B	0	IDENTITY	3	6	8289.544398732729
sift	128	A_TO_B	0	IDENTITY	3	7	2061.5587515139464
sift	128	A_TO_B	0	IDENTITY	3	8	522.635233881501
sift	128	A_TO_B	0	IDENTITY	3	9	128.57285161716928
sift	128	A_TO_B	0	IDENTITY	3	10	32.49787215535944
sift	128	A_TO_B	0	IDENTITY	3	11	8.054030743845132
sift	128	A_TO_B	0	IDENTITY	4	1	8481028.137708215
sift	128	A_TO_B	0	IDENTITY	4	2	2039478.6230195463
