evaluation_row	IDENTITY_ADAPTIVE_adjusted_unscaled_sse	IDENTITY_ADAPTIVE_nearest_sse	IDENTITY_ADAPTIVE_rescaled_sse	IDENTITY_UNIFORM_adjusted_unscaled_sse	IDENTITY_UNIFORM_nearest_sse	IDENTITY_UNIFORM_rescaled_sse	QR_ADAPTIVE_adjusted_unscaled_sse	QR_ADAPTIVE_nearest_sse	QR_ADAPTIVE_rescaled_sse	QR_UNIFORM_adjusted_unscaled_sse	QR_UNIFORM_nearest_sse	QR_UNIFORM_rescaled_sse
0	0.015335719972737956	0.007754530033068547	0.005598208260991164	0.015335719972737956	0.007754530033068547	0.005598208260991164	0.006249069541757791	0.004003346872379724	0.0036143466760660942	0.006249069541757791	0.004003346872379724	0.0036143466760660942
1	0.009094374217796035	0.005808460795113537	0.004484847791542075	0.009094374217796035	0.005808460795113537	0.004484847791542075	0.0052132822647132995	0.004145018491371917	0.0037883092057538897	0.0052132822647132995	0.004145018491371917	0.0037883092057538897
2	0.011392610556495557	0.007175786958923261	0.00416649860323811	0.011392610556495557	0.007175786958923261	0.00416649860323811	0.0029778000210096147	0.0019156437880089295	0.001665687714648508	0.0029778000210096147	0.0019156437880089295	0.001665687714648508
3	0.08369871369567813	0.0600618825732829	0.05111729143781507	0.08369871369567813	0.0600618825732829	0.05111729143781507	0.08703414134829068	0.05696818756117616	0.04876109759582113	0.08703414134829068	0.05696818756117616	0.04876109759582113
4	0.04546801622259834	0.03666825525218922	0.031383720226186636	0.04546801622259834	0.03666825525218922	0.031383720226186636	0.04283877975227332	0.028556650814252203	0.024945106005879285	0.04283877975227332	0.028556650814252203	0.024945106005879285
5	0.017293912741167126	0.010600230172197241	0.008288534757508905	0.017293912741167126	0.010600230172197241	0.008288534757508905	0.01471007342073772	0.008792710640557758	0.006683860701275999	0.01471007342073772	0.008792710640557758	0.006683860701275999
6	0.012091629765466017	0.00872160106255685	0.007623428834505462	0.012091629765466017	0.00872160106255685	0.007623428834505462	0.013370080053091586	0.008090907374020684	0.005938805407055462	0.013370080053091586	0.008090907374020684	0.005938805407055462
7	0.0007989370513037057	0.0005152261317888956	0.000393575343326125	0.0007989370513037057	0.0005152261317888956	0.000393575343326125	0.0005518697399530229	0.0003422284249580999	0.0002712700701611137	0.0005518697399530229	0.0003422284249580999	0.0002712700701611137
8	0.0038523837829869756	0.003015547747723799	0.00257023861088923	0.0038523837829869756	0.003015547747723799	0.00257023861088923	0.003528243932207623	0.0023277386713433782	0.0020412064207869663	0.003528243932207623	0.0023277386713433782	0.0020412064207869663
9	0.016829006675356643	0.01121632519072608	0.009454208040019473	0.016829006675356643	0.01121632519072608	0.009454208040019473	0.014290469953315623	0.009581446415544165	0.008666442278211239	0.014290469953315623	0.009581446415544165	0.008666442278211239
10	0.0071147340175125124	0.004041372810090486	0.002827561676028841	0.0071147340175125124	0.004041372810090486	0.002827561676028841	0.0029214616665737413	0.0017143078551450667	0.0014720771968642537	0.0029214616665737413	0.0017143078551450667	0.0014720771968642537
11	0.009712132496539029	0.006386241335051185	0.004000981932456662	0.009712132496539029	0.006386241335051185	0.004000981932456662	0.002162400396071541	0.00154943648072739	0.0013535667652071013	0.002162400396071541	0.00154943648072739	0.0013535667652071013
12	0.009135427187102838	0.005950962543100366	0.00497983125179671	0.009135427187102838	0.005950962543100366	0.00497983125179671	0.006631476638776919	0.005340906359624302	0.004694463265429213	0.006631476638776919	0.005340906359624302	0.004694463265429213
13	0.00979631654814768	0.007140426216595116	0.005643256777076367	0.00979631654814768	0.007140426216595116	0.005643256777076367	0.009586534831191342	0.005832653500626252	0.004461440865165745	0.009586534831191342	0.005832653500626252	0.004461440865165745
14	0.013470087464901866	0.00827714924407421	0.006897560315695712	0.013470087464901866	0.00827714924407421	0.006897560315695712	0.008069590522529896	0.006152245743166366	0.005357270479038065	0.008069590522529896	0.006152245743166366	0.005357270479038065
15	0.003097735180681636	0.0020389957471755194	0.0017317542950479239	0.003097735180681636	0.0020389957471755194	0.0017317542950479239	0.0020824454954911785	0.0016797092035263817	0.0015594102079972301	0.0020824454954911785	0.0016797092035263817	0.0015594102079972301
16	0.008571213330022781	0.005043713811075851	0.004319506315746322	0.008571213330022781	0.005043713811075851	0.004319506315746322	0.006794824772155636	0.004612525962875749	0.004179252705493122	0.006794824772155636	0.004612525962875749	0.004179252705493122
17	0.01801049878737305	0.008698898877618438	0.006457707708259071	0.01801049878737305	0.008698898877618438	0.006457707708259071	0.009086350006580146	0.0051888319702336596	0.0040919890035758764	0.009086350006580146	0.0051888319702336596	0.0040919890035758764
18	0.009723249373622584	0.007079356142959011	0.00623295794415286	0.009723249373622584	0.007079356142959011	0.00623295794415286	0.009759168621607209	0.006584604384617361	0.0056956416081179176	0.009759168621607209	0.006584604384617361	0.0056956416081179176
19	0.02170496408644499	0.01523832922926874	0.013413939417125183	0.02170496408644499	0.01523832922926874	0.013413939417125183	0.016524540539447404	0.011466206923771892	0.010098393843220348	0.016524540539447404	0.011466206923771892	0.010098393843220348
20	0.015885654611433837	0.006035595067340413	0.0034741864516119767	0.015885654611433837	0.006035595067340413	0.0034741864516119767	0.0047923923646467775	0.0036019088981760483	0.003002917562937529	0.0047923923646467775	0.0036019088981760483	0.003002917562937529
21	0.022857578010513645	0.013721436268163235	0.010184936226520034	0.022857578010513645	0.013721436268163235	0.010184936226520034	0.018138309425657223	0.01005609422611323	0.007659754268470927	0.018138309425657223	0.01005609422611323	0.007659754268470927
22	0.007266909216756225	0.005715180714805369	0.0048103622491097835	0.007266909216756225	0.005715180714805369	0.0048103622491097835	0.012048842121459529	0.005526473782970145	0.003482349538198269	0.012048842121459529	0.005526473782970145	0.003482349538198269
23	0.022678474504200397	0.010374700557210957	0.00670342038963408	0.022678474504200397	0.010374700557210957	0.00670342038963408	0.006365473531857641	0.004878588630392391	0.004424610414170308	0.006365473531857641	0.004878588630392391	0.004424610414170308
24	0.005619498814704613	0.0034606405031013753	0.0028274742370070372	0.005619498814704613	0.0034606405031013753	0.0028274742370070372	0.0024381031856344584	0.0019952350431588824	0.0017536103824092784	0.0024381031856344584	0.0019952350431588824	0.0017536103824092784
25	0.003866727950123034	0.0032525078253581516	0.0029309057061326386	0.003866727950123034	0.0032525078253581516	0.0029309057061326386	0.003327434129156381	0.002927681328869306	0.0027734292523246017	0.003327434129156381	0.002927681328869306	0.0027734292523246017
26	0.014631175485076395	0.00887264465207021	0.007407054429555164	0.014631175485076395	0.00887264465207021	0.007407054429555164	0.01240598257600695	0.008617726570669726	0.0071877823013607066	0.01240598257600695	0.008617726570669726	0.0071877823013607066
27	0.006087255149585409	0.003005257381115352	0.0016416799035474812	0.006087255149585409	0.003005257381115352	0.0016416799035474812	0.0012076747683764234	0.0008782966813483506	0.0007470080017203283	0.0012076747683764234	0.0008782966813483506	0.0007470080017203283
28	0.004939673424558153	0.0024443462029083993	0.0012221939169416143	0.004939673424558153	0.0024443462029083993	0.0012221939169416143	0.0014586100594275668	0.0006576222467821263	0.00045721951550303026	0.0014586100594275668	0.0006576222467821263	0.00045721951550303026
29	0.032578071341747665	0.02208071895366422	0.01844763497329485	0.032578071341747665	0.02208071895366422	0.01844763497329485	0.06062496245033079	0.02415257719937518	0.0183831934860796	0.06062496245033079	0.02415257719937518	0.0183831934860796
30	0.0030023149718846317	0.002430859367358253	0.002220528498004327	0.0030023149718846317	0.002430859367358253	0.002220528498004327	0.003448095695171337	0.0022266026235515978	0.0018548599992958177	0.003448095695171337	0.0022266026235515978	0.0018548599992958177
31	0.0067886203918057055	0.00393987303097969	0.0032506021994047124	0.0067886203918057055	0.00393987303097969	0.0032506021994047124	0.002969998379821216	0.0022508238615991613	0.0019561765131766184	0.002969998379821216	0.0022508238615991613	0.0019561765131766184
32	0.027346877312561333	0.015645503175097938	0.009218996087944447	0.027346877312561333	0.015645503175097938	0.009218996087944447	0.01366702538526193	0.008369760184584036	0.007240288411102789	0.01366702538526193	0.008369760184584036	0.007240288411102789
33	0.0133437986517583	0.00814107116681138	0.006760985909729565	0.0133437986517583	0.00814107116681138	0.006760985909729565	0.006502839710039923	0.004802988782199587	0.004314336288623379	0.006502839710039923	0.004802988782199587	0.004314336288623379
34	0.008498599020278544	0.005202038439283333	0.002994098567057024	0.008498599020278544	0.005202038439283333	0.002994098567057024	0.003504729182107401	0.0019546367406856604	0.0015599676821291134	0.003504729182107401	0.0019546367406856604	0.0015599676821291134
35	0.007106178987486688	0.0057310088057982616	0.005306425640564475	0.007106178987486688	0.0057310088057982616	0.005306425640564475	0.011222757067851356	0.006577971186253555	0.0051174294027830445	0.011222757067851356	0.006577971186253555	0.0051174294027830445
