evaluation_row	IDENTITY_ADAPTIVE_adjusted_unscaled_sse	IDENTITY_ADAPTIVE_nearest_sse	IDENTITY_ADAPTIVE_rescaled_sse	IDENTITY_UNIFORM_adjusted_unscaled_sse	IDENTITY_UNIFORM_nearest_sse	IDENTITY_UNIFORM_rescaled_sse	QR_ADAPTIVE_adjusted_unscaled_sse	QR_ADAPTIVE_nearest_sse	QR_ADAPTIVE_rescaled_sse	QR_UNIFORM_adjusted_unscaled_sse	QR_UNIFORM_nearest_sse	QR_UNIFORM_rescaled_sse
0	0.05933405439550876	0.043682467049854026	0.03879119492756197	0.05933405439550876	0.043682467049854026	0.03879119492756197	0.056803623509093196	0.03872687416680966	0.03335677630032965	0.056803623509093196	0.03872687416680966	0.03335677630032965
1	0.020255497382204477	0.012397944040473886	0.009569007183283894	0.020255497382204477	0.012397944040473886	0.009569007183283894	0.013759150597324618	0.010124406093166323	0.008250241164546913	0.013759150597324618	0.010124406093166323	0.008250241164546913
2	0.0224550070344213	0.009188880863446549	0.00700175247458636	0.0224550070344213	0.009188880863446549	0.00700175247458636	0.008245548509703096	0.004665032531011425	0.003933505018504308	0.008245548509703096	0.004665032531011425	0.003933505018504308
3	0.005744455615225323	0.003907225447495992	0.003435832484761085	0.005744455615225323	0.003907225447495992	0.003435832484761085	0.0035678565161264236	0.0028942078042321255	0.0026486874092980597	0.0035678565161264236	0.0028942078042321255	0.0026486874092980597
4	0.04444258697897129	0.02699354553752879	0.021987563058391967	0.04444258697897129	0.02699354553752879	0.021987563058391967	0.032819753900824415	0.025131652149492704	0.02166404632313299	0.032819753900824415	0.025131652149492704	0.02166404632313299
5	0.01782624191140685	0.010772837352170045	0.009289856255585852	0.01782624191140685	0.010772837352170045	0.009289856255585852	0.008048225407933571	0.007419085253621169	0.007189165700688303	0.008048225407933571	0.007419085253621169	0.007189165700688303
6	0.0024934347622597225	0.0015017606726597252	0.001167799072534538	0.0024934347622597225	0.0015017606726597252	0.001167799072534538	0.0014856337529745786	0.0010034292437996158	0.0008618394150177892	0.0014856337529745786	0.0010034292437996158	0.0008618394150177892
7	0.019401839397024518	0.011239632095940675	0.008157585225243813	0.019401839397024518	0.011239632095940675	0.008157585225243813	0.009380794060514508	0.007863654889352029	0.00697769047303861	0.009380794060514508	0.007863654889352029	0.00697769047303861
8	0.029717930951624505	0.019535954902966873	0.01606632649797931	0.029717930951624505	0.019535954902966873	0.01606632649797931	0.03540320062831177	0.019592241029065247	0.0158183450149555	0.03540320062831177	0.019592241029065247	0.0158183450149555
9	0.012981109805893554	0.006936189916147589	0.004689634301400751	0.012981109805893554	0.006936189916147589	0.004689634301400751	0.0037008024731852865	0.002917685564258815	0.0026339230128775964	0.0037008024731852865	0.002917685564258815	0.0026339230128775964
10	0.003979683228652487	0.002897670364336981	0.0016884379734210446	0.003979683228652487	0.002897670364336981	0.0016884379734210446	0.001077249532082382	0.0008959097684553732	0.0007590617152947609	0.001077249532082382	0.0008959097684553732	0.0007590617152947609
11	0.0007205040651720337	0.00032828474579158927	0.00024169954809852675	0.0007205040651720337	0.00032828474579158927	0.00024169954809852675	0.0003426584181854908	0.000265785614399218	0.0002189121894757041	0.0003426584181854908	0.000265785614399218	0.0002189121894757041
12	0.014715971381262224	0.006971651515898096	0.004065021653497892	0.014715971381262224	0.006971651515898096	0.004065021653497892	0.006114084058674418	0.0037907781213188697	0.0029391111164291193	0.006114084058674418	0.0037907781213188697	0.0029391111164291193
13	0.030074500242554474	0.011388119133138672	0.007871182743416841	0.030074500242554474	0.011388119133138672	0.007871182743416841	0.012005905245461123	0.008433850262693662	0.007360146641340936	0.012005905245461123	0.008433850262693662	0.007360146641340936
14	0.0047266584826467836	0.003278555553969573	0.002457764592913006	0.0047266584826467836	0.003278555553969573	0.002457764592913006	0.001646041474656505	0.0010764954942776132	0.0008840572687502624	0.001646041474656505	0.0010764954942776132	0.0008840572687502624
15	0.006805930215162053	0.004751505628540953	0.0041073761549615916	0.006805930215162053	0.004751505628540953	0.0041073761549615916	0.004817103606401596	0.003426835835669322	0.0029118614406959775	0.004817103606401596	0.003426835835669322	0.0029118614406959775
16	0.011633176356287585	0.00630702303885218	0.004735054931270272	0.011633176356287585	0.00630702303885218	0.004735054931270272	0.00582940224498967	0.004419722471655986	0.0037397444593873404	0.00582940224498967	0.004419722471655986	0.0037397444593873404
17	0.02389695956040887	0.01275960652770481	0.009726725676931478	0.02389695956040887	0.01275960652770481	0.009726725676931478	0.023454085202545955	0.012433418242705063	0.0078046080492984345	0.023454085202545955	0.012433418242705063	0.0078046080492984345
18	0.030732857756372994	0.015452089667377015	0.010311025149484322	0.030732857756372994	0.015452089667377015	0.010311025149484322	0.020232869822339725	0.011065034839243676	0.008200847105733863	0.020232869822339725	0.011065034839243676	0.008200847105733863
19	0.007464902990409275	0.005387609574584558	0.004743963075422879	0.007464902990409275	0.005387609574584558	0.004743963075422879	0.0061224016403975574	0.004302607276862401	0.00396292146306771	0.0061224016403975574	0.004302607276862401	0.00396292146306771
20	0.0054968298892387815	0.00332354561083749	0.0024726599665775683	0.0054968298892387815	0.00332354561083749	0.0024726599665775683	0.0019703769914086546	0.0011794519777265798	0.0010400468275625046	0.0019703769914086546	0.0011794519777265798	0.0010400468275625046
21	0.002633597933506445	0.0017713271593740477	0.001173882202300341	0.002633597933506445	0.0017713271593740477	0.001173882202300341	0.0011900593174372937	0.0007395697358278943	0.0006616862952994226	0.0011900593174372937	0.0007395697358278943	0.0006616862952994226
22	0.008784120931265257	0.006531422719267278	0.00540564969763045	0.008784120931265257	0.006531422719267278	0.00540564969763045	0.005862247393765541	0.004985949799394128	0.004309135268043978	0.005862247393765541	0.004985949799394128	0.004309135268043978
23	0.026029892522289072	0.01712925498974368	0.014337858199209855	0.026029892522289072	0.01712925498974368	0.014337858199209855	0.01686495211060282	0.014536581662580837	0.013572401133508535	0.01686495211060282	0.014536581662580837	0.013572401133508535
24	0.05090007189302896	0.021141871686222072	0.01385506237023609	0.05090007189302896	0.021141871686222072	0.01385506237023609	0.02113995158008517	0.013643385971114337	0.011963858330296891	0.02113995158008517	0.013643385971114337	0.011963858330296891
25	0.008153107411973509	0.004022981470654012	0.0028443752894956593	0.008153107411973509	0.004022981470654012	0.0028443752894956593	0.006909089046388305	0.003649579867456207	0.002486997441339342	0.006909089046388305	0.003649579867456207	0.002486997441339342
26	0.005945343720119973	0.004568146306509086	0.003821063619152454	0.005945343720119973	0.004568146306509086	0.003821063619152454	0.0033804514950261625	0.0026404556248862923	0.002368243575618083	0.0033804514950261625	0.0026404556248862923	0.002368243575618083
27	0.014981493270082507	0.009816871800648887	0.002572600118898728	0.014981493270082507	0.009816871800648887	0.002572600118898728	0.0005823587237939895	0.0005241136187857501	0.0004929466352458703	0.0005823587237939895	0.0005241136187857501	0.0004929466352458703
28	0.0029561769245071722	0.0016515011133023116	0.0013155435845766316	0.0029561769245071722	0.0016515011133023116	0.0013155435845766316	0.0014456328105034479	0.0010719666569980442	0.0009603680024056757	0.0014456328105034479	0.0010719666569980442	0.0009603680024056757
29	0.009236104859366207	0.00593196908802353	0.004713307475897386	0.009236104859366207	0.00593196908802353	0.004713307475897386	0.004763069708625551	0.0041344531215932005	0.003926321480004189	0.004763069708625551	0.0041344531215932005	0.003926321480004189
30	0.02531756549241049	0.014189797362805866	0.010717290980978136	0.02531756549241049	0.014189797362805866	0.010717290980978136	0.016618655526553158	0.012338974066669124	0.00969008743225645	0.016618655526553158	0.012338974066669124	0.00969008743225645
31	0.005247608646335351	0.0036653529496669516	0.002887293300986484	0.005247608646335351	0.0036653529496669516	0.002887293300986484	0.00815775748729562	0.004244536571940632	0.0029271212968771556	0.00815775748729562	0.004244536571940632	0.0029271212968771556
32	0.011741035704867047	0.007984573450427798	0.006974022430160804	0.011741035704867047	0.007984573450427798	0.006974022430160804	0.007503971692082204	0.006144381511024524	0.005824406719144768	0.007503971692082204	0.006144381511024524	0.005824406719144768
33	0.0015061636298093351	0.0009627149393500856	0.0007333799271600775	0.0015061636298093351	0.0009627149393500856	0.0007333799271600775	0.0005185163018693939	0.00042012023530896655	0.0003778205197087247	0.0005185163018693939	0.00042012023530896655	0.0003778205197087247
34	0.0028328461398909703	0.00218215517572821	0.0014812921799899632	0.0028328461398909703	0.00218215517572821	0.0014812921799899632	0.0016658772386085497	0.0009931999936869406	0.0008354037965788824	0.0016658772386085497	0.0009931999936869406	0.0008354037965788824
35	0.02258658112348219	0.015190004650639112	0.0130387486622217	0.02258658112348219	0.015190004650639112	0.0130387486622217	0.025353551675328073	0.013722959699244655	0.010347339976287364	0.025353551675328073	0.013722959699244655	0.010347339976287364
36	0.003828178183936952	0.0021722380498350098	0.0017039651122753947	0.003828178183936952	0.0021722380498350098	0.0017039651122753947	0.0017062474881181038	0.0013341395659683302	0.0012929504040599111	0.0017062474881181038	0.0013341395659683302	0.0012929504040599111
37	0.002087033495132591	0.0014920435309418558	0.001158405609299688	0.002087033495132591	0.0014920435309418558	0.001158405609299688	0.0012202331617579224	0.0006949957884474938	0.0005809500888064696	0.0012202331617579224	0.0006949957884474938	0.0005809500888064696
38	0.04798738254855874	0.03063006130715098	0.023328087216847072	0.04798738254855874	0.03063006130715098	0.023328087216847072	0.02914470323860233	0.020742094297998358	0.018989056589389156	0.02914470323860233	0.020742094297998358	0.018989056589389156
39	0.012442842993892346	0.009527430771811896	0.00855870335487783	0.012442842993892346	0.009527430771811896	0.00855870335487783	0.016343864033130515	0.009942032863712445	0.007935704428525148	0.016343864033130515	0.009942032863712445	0.007935704428525148
40	0.0790205391303033	0.04138824341319445	0.028251903968109476	0.0790205391303033	0.04138824341319445	0.028251903968109476	0.04085077473239956	0.029662903583189175	0.02643001304682916	0.04085077473239956	0.029662903583189175	0.02643001304682916
41	0.013743389651581239	0.01106785518342864	0.010379477516850276	0.013743389651581239	0.01106785518342864	0.010379477516850276	0.014876324888320299	0.009792263883946894	0.008290348457218618	0.014876324888320299	0.009792263883946894	0.008290348457218618
42	0.015248950227097437	0.008015686289769116	0.006503453273117965	0.015248950227097437	0.008015686289769116	0.006503453273117965	0.0187073496216711	0.007788319743066453	0.005345692422011317	0.0187073496216711	0.007788319743066453	0.005345692422011317
43	0.0028559779220260154	0.0012873611087388848	0.0007139519840502384	0.0028559779220260154	0.0012873611087388848	0.0007139519840502384	0.0014052088971129857	0.0007730400863953464	0.0006051811690413549	0.0014052088971129857	0.0007730400863953464	0.0006051811690413549
44	0.012051756599685305	0.00758043975718838	0.006115361471174014	0.012051756599685305	0.00758043975718838	0.006115361471174014	0.010612590491960543	0.006758110165200463	0.005923432216473175	0.010612590491960543	0.006758110165200463	0.005923432216473175
45	0.024515544081090267	0.017327332199611988	0.014576432303774194	0.024515544081090267	0.017327332199611988	0.014576432303774194	0.024019485135545932	0.015412239042806024	0.012286977822388433	0.024019485135545932	0.015412239042806024	0.012286977822388433
46	0.004244996004463963	0.0019221386071722182	0.0010825608440601115	0.004244996004463963	0.0019221386071722182	0.0010825608440601115	0.0011995173954714384	0.0009847657307644221	0.0008890738857145852	0.0011995173954714384	0.0009847657307644221	0.0008890738857145852
47	0.012904607425911865	0.009382365537910085	0.007870139899713028	0.012904607425911865	0.009382365537910085	0.007870139899713028	0.029589010964312663	0.011753744212178533	0.007917504392466121	0.029589010964312663	0.011753744212178533	0.007917504392466121
48	0.014115123417454365	0.008273906833237497	0.006396938080785895	0.014115123417454365	0.008273906833237497	0.006396938080785895	0.011035701161054005	0.005588420787674261	0.004294851860746407	0.011035701161054005	0.005588420787674261	0.004294851860746407
49	0.011812871150009044	0.0060922583656813425	0.004430696699944892	0.011812871150009044	0.0060922583656813425	0.004430696699944892	0.006601708106543407	0.004537362005065177	0.003686044178824988	0.006601708106543407	0.004537362005065177	0.003686044178824988
50	0.016121380979794694	0.009307318594730168	0.006869062695579553	0.016121380979794694	0.009307318594730168	0.006869062695579553	0.01272362739707525	0.007207582147221305	0.005426274107958684	0.01272362739707525	0.007207582147221305	0.005426274107958684
51	0.008096549660588674	0.00706737813122112	0.006349348426103526	0.008096549660588674	0.00706737813122112	0.006349348426103526	0.01086141989087945	0.006381677957310546	0.005339422341606991	0.01086141989087945	0.006381677957310546	0.005339422341606991
