evaluation_row	IDENTITY_ADAPTIVE_adjusted_unscaled_sse	IDENTITY_ADAPTIVE_nearest_sse	IDENTITY_ADAPTIVE_rescaled_sse	IDENTITY_UNIFORM_adjusted_unscaled_sse	IDENTITY_UNIFORM_nearest_sse	IDENTITY_UNIFORM_rescaled_sse	QR_ADAPTIVE_adjusted_unscaled_sse	QR_ADAPTIVE_nearest_sse	QR_ADAPTIVE_rescaled_sse	QR_UNIFORM_adjusted_unscaled_sse	QR_UNIFORM_nearest_sse	QR_UNIFORM_rescaled_sse
0	1101.2954469879035	854.6588699524793	744.53510598777	1101.2954469879035	854.6588699524793	744.53510598777	358.3756959510873	353.453439356481	353.97224034319447	358.3756959510873	353.453439356481	353.97224034319447
1	1819.7869438893558	1242.0202793447118	1040.9599920185958	1819.7869438893558	1242.0202793447118	1040.9599920185958	536.2098652689598	534.3111045854264	535.4278175834913	536.2098652689598	534.3111045854264	535.4278175834913
2	864.6509087267934	512.8840558541563	440.0564950816787	864.6509087267934	512.8840558541563	440.0564950816787	786.2266848954448	786.2266848954448	797.9457784416479	786.2266848954448	786.2266848954448	797.9457784416479
3	2421.6304576762195	2388.129982228147	2440.248691616802	2421.6304576762195	2388.129982228147	2440.248691616802	1474.5349522056065	1381.8898348277776	1330.4158573273903	1474.5349522056065	1381.8898348277776	1330.4158573273903
4	442.3893755757548	437.7337068910764	440.50354877023324	442.3893755757548	437.7337068910764	440.50354877023324	563.7221675967672	505.5860506621205	480.8157205886832	563.7221675967672	505.5860506621205	480.8157205886832
5	1064.8159652650127	919.9030801818069	802.0045719940161	1064.8159652650127	919.9030801818069	802.0045719940161	582.0311499227428	580.4107880018587	583.0956194263649	582.0311499227428	580.4107880018587	583.0956194263649
6	1269.7031938962434	1113.226406922008	1059.3542699730683	1269.7031938962434	1113.226406922008	1059.3542699730683	1047.7500946550888	558.627351150451	486.7151748206828	1047.7500946550888	558.627351150451	486.7151748206828
7	454.4434089762642	429.4618190258459	421.25804063442683	454.4434089762642	429.4618190258459	421.25804063442683	472.5426893838463	405.3929595207736	357.45320728921115	472.5426893838463	405.3929595207736	357.45320728921115
8	1010.5605812365204	945.6045029257577	931.8223140079976	1010.5605812365204	945.6045029257577	931.8223140079976	354.1398166139055	321.62708829925367	305.43555013817246	354.1398166139055	321.62708829925367	305.43555013817246
9	927.168691473606	927.168691473606	949.7859602062264	927.168691473606	927.168691473606	949.7859602062264	439.388816580964	427.32642651493137	421.82047345784565	439.388816580964	427.32642651493137	421.82047345784565
10	1200.703833461788	1164.771871136874	1108.8967017189786	1200.703833461788	1164.771871136874	1108.8967017189786	623.9560902856985	623.9560902856985	629.2689691095977	623.9560902856985	623.9560902856985	629.2689691095977
11	1016.3418212883769	896.7658532618223	886.5083060493012	1016.3418212883769	896.7658532618223	886.5083060493012	751.371848988848	749.8160771061489	752.9158444860265	751.371848988848	749.8160771061489	752.9158444860265
12	425.15619414200836	419.96845839498627	411.3740793750953	425.15619414200836	419.96845839498627	411.3740793750953	738.1335362067264	479.18298993195606	391.8855976165473	738.1335362067264	479.18298993195606	391.8855976165473
13	787.3065548879182	785.6897183084308	790.5005123502228	787.3065548879182	785.6897183084308	790.5005123502228	509.0593303807392	505.70640454436233	508.41868184013174	509.0593303807392	505.70640454436233	508.41868184013174
14	1102.0336525263797	590.6686485272694	523.4233257952578	1102.0336525263797	590.6686485272694	523.4233257952578	574.9662247838273	544.0457101718112	529.9147449359909	574.9662247838273	544.0457101718112	529.9147449359909
15	261.59551214271926	235.86877199288313	216.23524055153803	261.59551214271926	235.86877199288313	216.23524055153803	184.14220813883531	153.22137444733283	147.6156327427367	184.14220813883531	153.22137444733283	147.6156327427367
16	369.8804540044857	323.6688497317864	314.51986365334074	369.8804540044857	323.6688497317864	314.51986365334074	847.4357608662292	845.6616144587448	863.5678108255597	847.4357608662292	845.6616144587448	863.5678108255597
17	794.1087743698099	662.3333660167359	609.5953344016802	794.1087743698099	662.3333660167359	609.5953344016802	383.8962749288064	383.8962749288064	386.75050659764406	383.8962749288064	383.8962749288064	386.75050659764406
18	876.9214603235664	764.9823412719702	667.6446966777912	876.9214603235664	764.9823412719702	667.6446966777912	377.5559911501068	366.6670087540257	353.9759139958365	377.5559911501068	366.6670087540257	353.9759139958365
