evaluation_row	IDENTITY_ADAPTIVE_adjusted_unscaled_sse	IDENTITY_ADAPTIVE_nearest_sse	IDENTITY_ADAPTIVE_rescaled_sse	IDENTITY_UNIFORM_adjusted_unscaled_sse	IDENTITY_UNIFORM_nearest_sse	IDENTITY_UNIFORM_rescaled_sse	QR_ADAPTIVE_adjusted_unscaled_sse	QR_ADAPTIVE_nearest_sse	QR_ADAPTIVE_rescaled_sse	QR_UNIFORM_adjusted_unscaled_sse	QR_UNIFORM_nearest_sse	QR_UNIFORM_rescaled_sse
0	1251.3008143320444	1213.8816244388422	1208.317773704759	1251.3008143320444	1213.8816244388422	1208.317773704759	594.953744225579	593.5675821604659	593.9108186526219	594.953744225579	593.5675821604659	593.9108186526219
1	536.5214949692038	495.39854390835876	442.55975805601884	536.5214949692038	495.39854390835876	442.55975805601884	260.53297623593187	258.88863954171256	259.4937651471946	260.53297623593187	258.88863954171256	259.4937651471946
2	1088.6586575153497	1088.5354889876335	1104.262494108973	1088.6586575153497	1088.5354889876335	1104.262494108973	1253.2435755250945	882.848264264422	767.930668382165	1253.2435755250945	882.848264264422	767.930668382165
3	1266.3222028793866	1206.3503390579467	1157.6314444080492	1266.3222028793866	1206.3503390579467	1157.6314444080492	805.4590486170139	804.8668259081733	801.7890736846464	805.4590486170139	804.8668259081733	801.7890736846464
4	1243.8147981256868	1147.5347376133602	1052.1125820076918	1243.8147981256868	1147.5347376133602	1052.1125820076918	974.9899294711915	974.9899294711915	988.1123792675028	974.9899294711915	974.9899294711915	988.1123792675028
5	322.93401115768046	319.92799443573875	321.3969937526865	322.93401115768046	319.92799443573875	321.3969937526865	392.9517471327036	341.61728348495956	310.95888452290336	392.9517471327036	341.61728348495956	310.95888452290336
6	533.790143957115	520.7301096270475	486.74167434745954	533.790143957115	520.7301096270475	486.74167434745954	320.92596442471256	317.7423812977935	320.54325203272674	320.92596442471256	317.7423812977935	320.54325203272674
7	537.145883572313	532.4203079897949	539.8555276729955	537.145883572313	532.4203079897949	539.8555276729955	309.932513284557	270.1309248186454	242.19682347528772	309.932513284557	270.1309248186454	242.19682347528772
8	758.4155645283356	688.7807894357213	669.6047859890584	758.4155645283356	688.7807894357213	669.6047859890584	558.5637577616435	558.0656099116502	559.6940473204857	558.5637577616435	558.0656099116502	559.6940473204857
9	179.32342933889083	179.32342933889083	180.37649034274256	179.32342933889083	179.32342933889083	180.37649034274256	363.7527450849266	272.5620556256978	230.81294422946644	363.7527450849266	272.5620556256978	230.81294422946644
10	846.2825315383068	817.5720452549483	813.8913940017267	846.2825315383068	817.5720452549483	813.8913940017267	989.5161527278193	501.8595086208743	426.1318657887366	989.5161527278193	501.8595086208743	426.1318657887366
11	1543.3984896943002	1362.334337143402	1282.764363637425	1543.3984896943002	1362.334337143402	1282.764363637425	993.927017542759	993.5956212605599	1004.9268181807635	993.927017542759	993.5956212605599	1004.9268181807635
12	1028.6292847708498	1019.6418173768977	1041.4695770538224	1028.6292847708498	1019.6418173768977	1041.4695770538224	537.0699450685429	487.1010639388975	479.5779886492237	537.0699450685429	487.1010639388975	479.5779886492237
13	1645.698145040198	1590.7692042605156	1593.3599747975618	1645.698145040198	1590.7692042605156	1593.3599747975618	2288.9595339666294	1173.9183635491775	1010.4265427782868	2288.9595339666294	1173.9183635491775	1010.4265427782868
14	1095.8013032247009	1093.4311045034856	1125.4076642403143	1095.8013032247009	1093.4311045034856	1125.4076642403143	637.5971066515156	455.77699433640663	387.5806609300263	637.5971066515156	455.77699433640663	387.5806609300263
15	1580.9003060891564	1562.5323132546646	1573.9482964831918	1580.9003060891564	1562.5323132546646	1573.9482964831918	457.75485995243423	359.17460183311493	302.75510126536665	457.75485995243423	359.17460183311493	302.75510126536665
16	902.2512273307132	883.5991519127913	876.8345156092171	902.2512273307132	883.5991519127913	876.8345156092171	733.2217489802943	581.8992581899204	500.99112942487056	733.2217489802943	581.8992581899204	500.99112942487056
17	631.2363464047189	559.378986905896	534.699386476173	631.2363464047189	559.378986905896	534.699386476173	390.5072772752177	376.38565304109534	371.6496668109432	390.5072772752177	376.38565304109534	371.6496668109432
18	856.9857613370634	666.1105453746452	632.6200655195776	856.9857613370634	666.1105453746452	632.6200655195776	354.651397662907	323.21703594332473	299.4283022839579	354.651397662907	323.21703594332473	299.4283022839579
19	2082.038270525196	1735.757934113384	1595.1749420374726	2082.038270525196	1735.757934113384	1595.1749420374726	547.3092113062607	541.1882741331426	539.8578475527281	547.3092113062607	541.1882741331426	539.8578475527281
20	705.2733985697603	690.3321281958417	661.9795153135738	705.2733985697603	690.3321281958417	661.9795153135738	499.4404264778144	479.0120088902197	453.23180155301435	499.4404264778144	479.0120088902197	453.23180155301435
21	579.2062296797383	579.2062296797383	586.9844543112629	579.2062296797383	579.2062296797383	586.9844543112629	1213.3687562125028	550.1101780958024	469.30188933051966	1213.3687562125028	550.1101780958024	469.30188933051966
22	1061.633404096975	1001.8441993332938	986.3211840316148	1061.633404096975	1001.8441993332938	986.3211840316148	1012.0720960087758	869.9085997703767	847.6941109218997	1012.0720960087758	869.9085997703767	847.6941109218997
23	678.6884832340868	641.0720590531084	633.0860139509824	678.6884832340868	641.0720590531084	633.0860139509824	396.21042672374983	394.2996460171284	397.4905645123714	396.21042672374983	394.2996460171284	397.4905645123714
24	947.10498085323	891.7005954838427	885.0668357494933	947.10498085323	891.7005954838427	885.0668357494933	563.0605632706464	563.0605632706464	568.2179762263995	563.0605632706464	563.0605632706464	568.2179762263995
25	976.201845708506	844.5217950547512	739.8917018554678	976.201845708506	844.5217950547512	739.8917018554678	745.8433834344727	727.383085684995	729.8770401161539	745.8433834344727	727.383085684995	729.8770401161539
26	983.5317869427764	961.1469197710486	930.9769633023395	983.5317869427764	961.1469197710486	930.9769633023395	1572.4974621366964	1300.1689480623895	1202.8986885894706	1572.4974621366964	1300.1689480623895	1202.8986885894706
27	1021.7908989245545	1021.68519763265	1042.6363254017454	1021.7908989245545	1021.68519763265	1042.6363254017454	415.7721154589792	415.33558702015057	414.18872449786295	415.7721154589792	415.33558702015057	414.18872449786295
28	603.651159194981	584.097605246934	573.6136788882018	603.651159194981	584.097605246934	573.6136788882018	1085.8862168654002	618.0267490201736	562.7611206448403	1085.8862168654002	618.0267490201736	562.7611206448403
29	963.6326238902344	775.8769106498236	734.2107698169955	963.6326238902344	775.8769106498236	734.2107698169955	804.358256393743	804.358256393743	814.4200370531781	804.358256393743	804.358256393743	814.4200370531781
30	923.6595629301426	921.5781097957458	932.2712990497822	923.6595629301426	921.5781097957458	932.2712990497822	719.9984702270344	483.04097475645494	446.39932527633874	719.9984702270344	483.04097475645494	446.39932527633874
31	1723.6059666972815	1527.187420942344	1445.0999933017429	1723.6059666972815	1527.187420942344	1445.0999933017429	530.6528841864724	511.00687807795083	457.83478176278464	530.6528841864724	511.00687807795083	457.83478176278464
32	1477.209772143004	1164.512963521433	1109.2315643075294	1477.209772143004	1164.512963521433	1109.2315643075294	437.92583661790013	436.76714761094865	435.5494583776422	437.92583661790013	436.76714761094865	435.5494583776422
33	2266.438708118843	1489.3052095815615	1265.0492685165557	2266.438708118843	1489.3052095815615	1265.0492685165557	615.7746033866588	612.9102448894821	608.8434172828863	615.7746033866588	612.9102448894821	608.8434172828863
34	424.1950736241298	424.1950736241298	428.50638121499765	424.1950736241298	424.1950736241298	428.50638121499765	490.6170490008535	490.16866356300716	494.9616307449496	490.6170490008535	490.16866356300716	494.9616307449496
