dataset	dimensions	fold	segment	rotation	sha256
sift	128	A_TO_B	0	IDENTITY	identity
sift	128	A_TO_B	0	QR	1928a0a864b32a5d4e86fcc1e17f43eccfc563488032fc9bedca89354133334a
sift	128	B_TO_A	0	IDENTITY	identity
sift	128	B_TO_A	0	QR	1928a0a864b32a5d4e86fcc1e17f43eccfc563488032fc9bedca89354133334a
gist	960	A_TO_B	0	IDENTITY	identity
gist	960	A_TO_B	0	QR	5728fa0253ffa06aaa5669796bc13ae7e0c67d96496ed41224a2b04a21d720d9
gist	960	A_TO_B	1	IDENTITY	identity
gist	960	A_TO_B	1	QR	6333889e5536ed2fcf4f0826c9ba10f1c65503712c2957cee3555a23c747570a
gist	960	A_TO_B	2	IDENTITY	identity
gist	960	A_TO_B	2	QR	92b0dde5b3cf3541bb824a2783599fd41005b17008e2459fe7a9a2d9aa057432
gist	960	A_TO_B	3	IDENTITY	identity
gist	960	A_TO_B	3	QR	5b990e06f8195118f208000019ba00f54b7cead2b1507f4b207db55051ca2fdf
gist	960	B_TO_A	0	IDENTITY	identity
gist	960	B_TO_A	0	QR	5728fa0253ffa06aaa5669796bc13ae7e0c67d96496ed41224a2b04a21d720d9
gist	960	B_TO_A	1	IDENTITY	identity
gist	960	B_TO_A	1	QR	6333889e5536ed2fcf4f0826c9ba10f1c65503712c2957cee3555a23c747570a
gist	960	B_TO_A	2	IDENTITY	identity
gist	960	B_TO_A	2	QR	92b0dde5b3cf3541bb824a2783599fd41005b17008e2459fe7a9a2d9aa057432
gist	960	B_TO_A	3	IDENTITY	identity
gist	960	B_TO_A	3	QR	5b990e06f8195118f208000019ba00f54b7cead2b1507f4b207db55051ca2fdf
