dataset	dimensions	fold	rotation	allocation	plan	payload_bits	factor_bits	vector_total_bytes	allocation_metadata_bytes	changed_pairs	rescaled_sse_per_vector	nearest_sse_per_vector	adjusted_unscaled_sse_per_vector
sift	128	A_TO_B	IDENTITY	UNIFORM	0:128:4	512	64	72	0	0	896.4636683457153	937.8002174782862	1078.570271873874
sift	128	A_TO_B	IDENTITY	ADAPTIVE	0:128:4	512	64	72	64	0	896.4636683457153	937.8002174782862	1078.570271873874
sift	128	A_TO_B	QR	UNIFORM	0:128:4	512	64	72	0	0	533.1718016849206	560.1347936219213	646.9498050796954
sift	128	A_TO_B	QR	ADAPTIVE	0:128:4	512	64	72	64	0	533.1718016849206	560.1347936219213	646.9498050796954
sift	128	B_TO_A	IDENTITY	UNIFORM	0:128:4	512	64	72	0	0	902.2564696864524	942.5845280897436	1075.3351924955218
sift	128	B_TO_A	IDENTITY	ADAPTIVE	0:128:4	512	64	72	64	0	902.2564696864524	942.5845280897436	1075.3351924955218
sift	128	B_TO_A	QR	UNIFORM	0:128:4	512	64	72	0	0	537.4304560655889	564.5294906774162	652.2199379514855
sift	128	B_TO_A	QR	ADAPTIVE	0:128:4	512	64	72	64	0	537.4304560655889	564.5294906774162	652.2199379514855
gist	960	A_TO_B	IDENTITY	UNIFORM	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	0	0	0.008553264114164835	0.01120339699282228	0.019019773281567634
gist	960	A_TO_B	IDENTITY	ADAPTIVE	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	416	0	0.008553264114164835	0.01120339699282228	0.019019773281567634
gist	960	A_TO_B	QR	UNIFORM	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	0	0	0.0072006921776694936	0.008640188851253058	0.01312214763100229
gist	960	A_TO_B	QR	ADAPTIVE	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	416	0	0.0072006921776694936	0.008640188851253058	0.01312214763100229
gist	960	B_TO_A	IDENTITY	UNIFORM	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	0	0	0.008562354428912046	0.011143614241130674	0.018825573591172366
gist	960	B_TO_A	IDENTITY	ADAPTIVE	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	416	0	0.008562354428912046	0.011143614241130674	0.018825573591172366
gist	960	B_TO_A	QR	UNIFORM	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	0	0	0.0072145194139119385	0.008663988113763966	0.013145927302249623
gist	960	B_TO_A	QR	ADAPTIVE	0:64:11|64:256:6|256:576:4|576:832:2|832:960:0	3648	256	488	416	0	0.0072145194139119385	0.008663988113763966	0.013145927302249623
